Timestamp,X,Y,Z
0.019
0.04,-1.1340418,0.20237915,9.584868
0.062,0.41314086,1.0262659,9.277108
0.082,0.19040406,0.9663904,9.509425
0.112,0.31135255,0.88974977,8.880733
0.133,-0.10538086,0.52091676,8.6699705
0.154,-0.2323169,0.9472302,8.820857
0.174,-0.2323169,0.9472302,8.820857
0.194,-0.38919067,1.3735437,9.3381815
0.215,-0.4035608,1.4885046,9.332193
0.235,-0.3939807,1.2825329,9.321416
0.256,-0.48499146,1.1735595,9.447155
0.277,-0.36284545,1.350791,9.296268
0.298,-0.3556604,1.5567627,9.087902
0.319,-0.22992188,1.7004639,9.129814
0.339,-0.36045045,1.6789087,9.164542
0.361,-0.36045045,1.6789087,9.164542
0.382,-0.36045045,1.6789087,9.164542
0.403,-0.36045045,1.6789087,9.164542
0.423,-0.17723145,1.6058606,8.93941
0.444,-0.2706372,1.5675403,9.020841
0.464,-0.2706372,1.5675403,9.020841
0.485,-0.21674927,1.5399976,9.156159
0.505,-0.29817992,1.5555652,9.0639515
0.526,-0.29937744,1.5938855,9.0567665
0.546,-0.29937744,1.5938855,9.0567665
0.567,-0.41074586,1.6429834,9.093889
0.587,-0.5221143,1.6429834,9.177715
0.608,-0.5125342,1.7651294,9.280701
0.628,-0.5125342,1.7651294,9.280701
0.649,-0.57001466,1.6429834,9.350156
0.669,-0.6251001,1.5232325,9.309441
0.691,-0.5604346,1.6046631,9.150172
0.713,-0.5161267,1.7639319,8.940608
0.734,-0.5017566,1.893263,9.073531
0.755,-0.5017566,1.893263,9.073531
0.776,-0.5017566,1.893263,9.073531
0.797,-0.5221143,1.5675403,9.077124
0.818,-0.37362304,1.5184424,8.97294
0.839,-0.42511597,1.4813195,9.030421
0.861,-0.28859985,1.5902929,9.311836
0.882,-0.42751098,1.5076648,9.319021
0.903,-0.36284545,1.5028747,9.241183
0.924,-0.40116578,1.5711328,8.840017
0.944,-0.39757323,1.5771203,8.804091
0.965,-0.53648436,1.4992822,8.932225
0.986,-0.53648436,1.4992822,8.932225
1.007,-0.5867798,1.5507752,9.411229
1.028,-0.68497556,1.5843054,9.528585
1.049,-0.68497556,1.5843054,9.528585
1.07,-0.8957373,1.7327967,9.053174
1.091,-0.737666,1.84656,8.971744
1.112,-0.737666,1.84656,8.971744
1.133,-0.62031007,1.8800904,9.1765175
1.155,-0.6059399,1.8285974,9.186097
1.175,-0.6059399,1.8285974,9.186097
1.196,-0.34488282,1.7962646,9.080716
1.217,-0.4514612,1.8106347,9.239985
1.238,-0.4514612,1.8106347,9.239985
1.259,-0.3065625,2.003434,8.977731
1.281,-0.28740233,2.1734803,8.964558
1.302,-0.2562671,2.274071,9.109457
1.324,-0.36164796,2.577041,9.186097
1.345,-0.23950195,2.6931994,9.148974
1.365,-0.36404297,2.830913,8.98731
1.386,-0.37721556,3.1961536,8.721463
1.406,-0.34847534,3.573369,8.757389
1.427,-0.34847534,3.725453,8.792117
1.447,-0.34847534,3.725453,8.792117
1.468,-0.33769774,4.491859,8.563393
1.488,-0.30296996,4.9157777,8.522677
1.508,-0.30296996,4.9157777,8.522677
1.529,-0.44667113,5.259463,8.707093
1.549,-0.34847534,5.4235215,8.635242
1.57,-0.34847534,5.4235215,8.635242
1.59,-0.23590942,5.669011,8.762179
1.611,-0.17723145,5.7707996,8.806487
1.631,-0.015567627,5.830675,8.673563
1.652,-0.1101709,5.518125,8.461604
1.672,-0.05628296,5.503755,8.473579
1.692,-0.065863036,5.3684363,8.485554
1.713,-0.065863036,5.3684363,8.485554
1.733,0.1484912,5.0008006,8.353828
1.754,0.17363891,5.0019984,8.440049
1.774,0.17363891,5.0019984,8.440049
1.795,0.11735596,4.9373326,8.933423
1.815,0.026345216,4.780459,8.792117
1.835,0.026345216,4.780459,8.792117
1.856,-0.17244141,4.590055,8.611293
1.876,-0.23471192,4.6726832,8.654403
1.897,-0.41194335,4.6571155,8.769364
1.917,-0.3939807,4.678671,8.587342
1.938,-0.4179309,4.758904,8.614885
1.958,-0.32572266,4.7110033,8.685538
1.979,-0.32572266,4.7110033,8.685538
1.999,-0.19998413,4.643943,8.623268
2.019,-0.24429199,4.60682,8.853189
2.04,-0.24429199,4.60682,8.853189
2.06,-0.15328126,4.31822,8.784931
2.081,-0.18202148,4.0667434,8.6771555
2.101,-0.18202148,4.0667434,8.6771555
2.122,0.04550537,4.149371,8.546627
2.142,0.04550537,4.149371,8.546627
2.163,-0.05628296,4.1290135,9.044791
2.183,-0.16166382,3.9577699,8.980125
2.203,0.009580079,3.9529798,8.90109
2.224,0.019160157,3.97693,8.89151
2.244,0.019160157,3.97693,8.89151
2.265,0.03592529,3.869154,8.92504
2.285,-0.043110352,3.7110827,9.103469
2.306,-0.043110352,3.7110827,9.103469
2.326,0.07903565,3.5446289,9.045989
2.347,0.22992188,3.4033227,8.737031
2.367,0.22992188,3.4033227,8.737031
2.387,0.3915857,3.1913636,8.866363
2.408,0.59755737,3.0907726,8.986114
2.428,0.59755737,3.0907726,8.986114
2.449,0.55324954,2.7890003,9.205257
2.469,0.5879773,2.7279272,9.238788
2.49,0.5340893,2.7854078,9.153765
2.51,0.46343628,2.4213648,9.109457
2.53,0.40236327,2.0800745,8.963361
2.551,0.4514612,1.8980529,8.931027
2.571,0.4514612,1.8980529,8.931027
2.592,0.3436853,0.9939331,8.952583
2.612,0.22273682,0.8693921,9.293873
2.633,0.22273682,0.8693921,9.293873
2.653,0.10777588,1.9267932,9.971663
2.674,0.08981323,2.2764661,9.582473
2.694,0.08981323,2.2764661,9.582473
2.714,0.19878662,2.3998096,8.683144
2.735,0.09460327,2.4608827,8.766969
2.755,0.23590942,2.5435107,8.873548
2.776,0.15567628,1.9603235,9.084309
2.796,0.08861572,1.5495776,9.091495
2.817,0.06346802,1.5124549,9.188493
2.837,0.06346802,1.5124549,9.188493
2.858,0.10657837,1.1436218,9.486672
2.878,0.2969824,1.1316468,9.280701
2.899,0.2969824,1.1316468,9.280701
2.919,0.2574646,1.2765454,9.2184305
2.939,0.46223876,1.5651453,9.329799
2.96,0.46223876,1.5651453,9.329799
2.98,0.38080812,1.3735437,9.3944645
3.001,0.3915857,1.3723462,9.501042
3.021,0.53528684,1.0921289,9.496252
3.042,0.52091676,0.91130495,9.309441
3.062,0.5760022,0.9460327,9.231603
3.082,0.6753955,1.035846,9.035212
3.103,0.6753955,1.035846,9.035212
3.123,0.7232959,0.81670165,8.844807
3.144,0.75682616,0.8322693,8.82924
3.164,0.75682616,0.8322693,8.82924
3.185,0.61791503,1.1939173,9.299861
3.205,0.3412903,0.99992067,9.5070305
3.225,0.3412903,0.99992067,9.5070305
3.246,-0.022752685,0.737666,9.291478
3.266,0.13292359,0.8921448,9.172925
3.287,0.28859985,1.0178833,9.236393
3.307,0.27782226,1.3244458,9.632769
3.328,0.30416748,1.3172607,9.754914
3.348,0.42152345,1.0190808,9.780063
3.369,0.42152345,1.0190808,9.780063
3.389,0.6442602,0.6490503,9.323811
3.409,0.8370593,0.6538403,9.313033
3.43,0.8370593,0.6538403,9.313033
3.45
3.471,0.9472302,0.31494507,9.575288
3.491,0.9472302,0.31494507,9.575288
3.512,0.9891431,0.3568579,9.344169
3.532,1.1412268,0.4682263,9.364527
3.554,1.0801538,0.7735913,9.299861
3.574,1.0801538,0.7735913,9.299861
3.595,1.0801538,0.7735913,9.299861
3.616,1.0801538,0.7735913,9.299861
3.637,1.0190808,0.7424561,9.131012
3.658,0.8741821,0.93765014,9.292676
3.678,0.7807764,1.0130932,9.198072
3.699,0.7807764,1.0130932,9.198072
3.721,0.59156984,0.80233157,8.86277
3.742,0.37362304,0.73048097,9.091495
3.762,0.32692015,0.86579955,9.393267
3.783,0.32692015,0.86579955,9.393267
3.804,-0.04790039,1.1999048,9.400452
3.825,-0.08861572,1.350791,9.405242
3.846,-0.09939331,1.4465919,9.206455
3.866,-0.09939331,1.4465919,9.206455
3.887,-0.09939331,1.4465919,9.206455
3.908,0.015567627,1.4597644,9.686657
3.929,0.086220704,1.355581,9.637559
3.95,0.086220704,1.355581,9.637559
3.971,0.22632934,0.8945398,9.442365
3.992,0.26824218,0.91010743,9.509425
4.012,0.30776,0.90531737,9.520203
4.033,0.54726195,0.9663904,9.718989
4.054,0.59635985,0.99872315,9.637559
4.075,0.4897815,0.91250247,9.46392
4.096,0.4897815,0.91250247,9.46392
4.117,0.66701293,0.9244775,9.148974
4.138,0.5125342,0.7364685,9.154963
4.159,0.5125342,0.7364685,9.154963
4.18,0.5879773,0.71730834,9.438772
4.201,0.1484912,0.33769774,9.465117
4.221,0.1484912,0.33769774,9.465117
4.242,0.104183346,1.2717553,9.195678
4.27,0.0,1.4621594,9.341774
4.291,0.0,1.4621594,9.341774
4.312,0.0,1.4621594,9.341774
4.341,0.0,1.4621594,9.341774
4.362,0.013172608,1.0981164,8.680748
4.383,0.0059875487,1.2657678,8.804091
4.411,0.368833,1.3986914,8.819659
4.432,0.61552,1.7471668,9.325008
4.453,0.61911255,1.7280066,9.269923
4.474,0.49576905,1.7747095,9.317823
4.495,0.49576905,1.7747095,9.317823
4.516,0.49576905,1.7747095,9.317823
4.537,0.61073,2.0417542,8.374186
4.557,0.6119275,2.4728577,8.611293
4.578,0.80113405,2.7866051,8.889115
4.599,1.0801538,3.4452355,9.726174
4.62,1.045426,3.4835558,9.898616
4.641,1.0777588,3.4943335,9.826765
4.662,1.3783337,3.133883,9.371712
4.683,1.1484119,2.7243347,9.351354
4.703,1.0502161,2.3782544,9.469907
4.724,1.0502161,2.3782544,9.469907
4.745,1.2561878,2.2956262,8.989706
4.766,1.4681469,2.3950195,8.817265
