Timestamp,X,Y,Z
0.009,1.233435,0.75203615,7.0748878
0.039,1.233435,0.75203615,7.0748878
0.059,1.4645544,1.0418335,7.4568934
0.08,-0.062270507,0.15687378,9.693842
0.1,-0.062270507,0.15687378,9.693842
0.121,-0.062270507,0.15687378,9.693842
0.142,0.24908203,1.0047107,9.3381815
0.163,0.24908203,1.0047107,9.3381815
0.183,0.33171022,0.6430628,9.178912
0.204,-0.05508545,-0.04550537,8.805289
0.225,0.082628176,-0.021555176,8.637638
0.246,0.082628176,-0.021555176,8.637638
0.267,0.082628176,-0.021555176,8.637638
0.288,0.038320314,1.9938538
0.308,-0.11975098,2.034569,10.504556
0.33,-0.11975098,2.034569,10.504556
0.35,-0.18202148,0.90531737,8.89151
0.371,-0.18202148,0.90531737,8.89151
0.392,-0.18202148,0.90531737,8.89151
0.412,-0.05987549,1.033451,9.657916
0.433,-0.05987549,1.033451,9.657916
0.454,0.24189697,1.6058606,8.668774
0.476,0.08023316,1.3819263,8.778944
0.497,0.04550537,1.167572,8.9442005
0.518,0.04550537,1.167572,8.9442005
0.539,0.09939331,1.5639478,9.206455
0.562,0.11975098,1.5867004,9.092691
0.583,0.11975098,1.5867004,9.092691
0.604,0.05748047,1.4334192,9.006471
0.626,-0.04430786,1.3268409,9.002878
0.646,0.13412109,1.3148657,8.91067
0.667,0.13412109,1.3148657,8.91067
0.688,0.09101074,1.4262341,9.484278
0.709,0.062270507,1.5579602,9.498648
0.73,0.062270507,1.5579602,9.498648
0.751,0.034727782,1.4166541,9.266331
0.772,0.034727782,1.4166541,9.266331
0.793,-0.0011975098,1.3615686,9.060359
0.814,-0.0011975098,1.3615686,9.060359
0.835,0.082628176,1.8573376,9.245973
0.857,-0.05508545,1.6549585,9.265133
0.878,-0.05508545,1.6549585,9.265133
0.899,0.043110352,1.8693128,9.084309
0.92,0.08861572,1.8106347,9.028027
0.943,0.08861572,1.8106347,9.028027
0.964,0.23471192,1.84656,9.254355
0.984,0.32572266,1.9148182,9.1849
1.006,0.37003052,2.020199,9.152567
1.027,0.31374756,1.9938538,8.999286
1.048,0.23471192,2.0645068,9.011261
1.069,0.23471192,2.0645068,9.011261
1.09,0.23471192,2.0645068,9.011261
1.111,0.19998413,2.687212,8.432864
1.132,0.16405883,2.5518932,8.453221
1.152,0.16405883,2.5518932,8.453221
1.173,0.061072998,2.6045837,8.822055
1.194,0.13771363,2.8273206,9.085506
1.216,0.13771363,2.8273206,9.085506
1.237,0.13412109,2.823728,9.654324
1.257,-0.025147704,2.4129822,9.417217
1.278,-0.05029541,2.3507116,9.382489
1.299,-0.05029541,2.3507116,9.382489
1.32,-0.009580079,2.2357507,9.710607
1.341,-0.019160157,2.1806653,9.672286
1.362,-0.019160157,2.1806653,9.672286
1.383,-0.07185058,1.9375708,9.322614
1.404,0.0047900393,1.8788928,8.923842
1.425,0.0047900393,1.8788928,8.923842
1.446,0.19998413,1.9243982,9.1130495
1.468,0.22273682,1.895658,9.108259
1.495,0.19160156,1.780697,9.121432
1.516,0.19160156,1.780697,9.121432
1.537,0.28859985,1.5699353,9.233997
1.557,0.28740233,1.5783179,9.096284
1.578,0.05388794,1.6082556,9.1202345
1.599,0.05388794,1.6082556,9.1202345
1.62,0.05388794,1.6082556,9.1202345
1.641,-0.03592529,1.6825012,9.123827
1.661,-0.13412109,1.5723304,9.104667
1.683,-0.13412109,1.5723304,9.104667
1.704,-0.13412109,1.5723304,9.104667
1.725,-0.36284545,1.6789087,9.49745
1.746,-0.3436853,1.7028589,9.369316
1.767,-0.3436853,1.7028589,9.369316
1.788,-0.21794678,1.7603394,9.050778
1.809,-0.16884887,1.6453785,9.156159
1.83,-0.16884887,1.6453785,9.156159
1.851,-0.2335144,1.5388,9.53577
1.871,-0.064665526,1.4741346,9.5070305
1.892,-0.013172608,1.4825171,9.437574
1.914,0.14370117,1.5040723,9.224418
1.936,0.08741821,1.6968713,9.353748
1.956,0.09939331,1.773512,9.402846
1.977,0.09939331,1.773512,9.402846
1.998,-0.1592688,1.6477734,9.18011
2.019,-0.17124389,1.7351917,9.049582
2.04,-0.17124389,1.7351917,9.049582
2.061,-0.2562671,2.269281,9.174122
2.082,-0.16286133,2.454895,9.138197
2.103,-0.16286133,2.454895,9.138197
2.124,-0.008382568,2.6668541,9.108259
2.147,0.068258055,2.6788294,9.031619
2.168,0.068258055,2.6788294,9.031619
2.189,0.10777588,2.7446923,9.181308
2.21,0.19279908,2.880011,9.21364
2.233,0.19279908,2.880011,9.21364
2.255,0.13651611,2.4333398,9.115444
2.277,0.09580078,2.337539,8.945398
2.298,0.09580078,2.337539,8.945398
2.319,0.12693603,2.9806018,9.293873
2.34,0.13292359,3.0776,9.243578
2.361,0.085023195,3.0320947,9.198072
2.382,0.009580079,2.7099645,8.890312
2.403,0.017962646,2.6608667,8.771759
2.423,0.17363891,2.7375073,8.793314
2.445,0.31135255,2.6860144,9.103469
2.466,0.3065625,2.13037,9.271121
2.487,0.3065625,2.13037,9.271121
2.508,0.24189697,1.9112256,9.239985
2.53,0.31255004,1.6729212,9.27591
2.551,0.24429199,1.5471826,9.313033
2.572,0.24429199,1.5471826,9.313033
2.593,0.35087037,1.6381934,8.968151
2.614,0.35925293,1.6956738,9.026829
2.634,0.35925293,1.6956738,9.026829
2.656,0.15567628,1.407074,9.399254
2.677,0.14130615,1.2729529,9.354946
2.698,0.14130615,1.2729529,9.354946
2.719,0.17244141,1.2633728,9.293873
2.739,0.08741821,0.9580078,9.398057
2.763,0.08741821,0.9580078,9.398057
2.784,0.12573853,0.74365354,9.2256155
2.805,0.18681152,0.88735473,9.127419
2.829,0.18681152,0.93884766,9.116642
2.85,0.21195923,0.9340576,9.153765
2.871,0.33171022,0.95441526,9.484278
2.892,0.33171022,0.95441526,9.484278
2.912,0.4658313,0.7723938,9.447155
2.933,0.42391846,0.7532337,9.453142
2.954,0.48858398,0.7592212,9.459129
2.976,0.5292993,0.79993653,9.350156
2.997,0.3544629,0.61552,9.353748
3.018,0.3544629,0.61552,9.353748
