Timestamp,X,Y,Z
0.018,0.17723145,0.49936157,9.269923
0.039,0.17723145,0.49936157,9.269923
0.059,0.13172607,0.4754114,9.265133
0.08,0.15687378,0.5400769,9.166937
0.101,0.15687378,0.5400769,9.166937
0.121,0.25506958,0.59276736,9.177715
0.142,0.13412109,0.55324954,9.182505
0.163,0.11735596,0.4538562,9.187295
0.184,0.11735596,0.4538562,9.187295
0.204,0.22872436,0.41912842,9.244776
0.225,-0.039517824,0.20597167,9.341774
0.245,-0.039517824,0.20597167,9.341774
0.266,0.083825685,0.31015503,9.26154
0.287,0.2215393,0.3544629,9.323811
0.307,0.2215393,0.3544629,9.323811
0.328,0.31015503,0.37122804,9.164542
0.348,0.21794678,0.4538562,9.273516
0.369,0.16645385,0.45744872,9.293873
0.389,0.37122804,0.43349853,9.216035
0.409,0.47421387,0.42152345,9.303453
0.43,0.46104127,0.42511597,9.411229
0.45,0.46104127,0.42511597,9.411229
0.471,0.46104127,0.42511597,9.411229
0.491,0.30057496,0.22872436,9.411229
0.512,0.29219237,0.27662477,9.301059
0.532,0.26464966,0.3436853,9.307046
0.553,0.26464966,0.3436853,9.307046
0.574,0.26464966,0.3436853,9.307046
0.595,0.2802173,0.48618898,9.150172
0.615,0.28979737,0.45026368,9.129814
0.636,0.28979737,0.45026368,9.129814
0.657,0.35087037,0.48020142,9.267529
0.677,0.37003052,0.45625123,9.298663
0.698,0.37003052,0.432301,9.307046
0.718,0.32811767,0.35206786,9.311836
0.739,0.2945874,0.38799316,9.310638
0.759,0.30416748,0.3820056,9.27591
0.78,0.30416748,0.3820056,9.27591
0.801,0.17842895,0.41314086,9.211246
0.821,0.19279908,0.45984375,9.129814
0.842,0.19279908,0.45984375,9.129814
0.862,0.19878662,0.41912842,9.148974
0.882,0.19758911,0.39877075,9.201665
0.903,0.26464966,0.33530274,9.326206
0.924,0.26225463,0.4406836,9.417217
0.947,0.25027955,0.49936157,9.460327
0.967,0.25027955,0.49936157,9.460327
0.988,0.27183473,0.552052,9.417217
1.008,0.27183473,0.552052,9.417217
1.029,0.19160156,0.7580237,9.260343
1.049,0.16166382,0.7879614,9.257948
1.07,0.1580713,0.88974977,9.192085
1.09,0.19160156,0.81191164,9.077124
1.11,0.19160156,0.81191164,9.077124
1.131,0.24069947,0.7256909,9.145382
1.151,0.25267455,0.7137158,9.272318
1.172,0.19399658,0.65264285,9.262738
1.192,0.19399658,0.65264285,9.262738
1.213,0.27782226,0.61791503,9.2818985
1.234,0.27542725,0.6227051,9.328601
1.254,0.27542725,0.6227051,9.328601
1.275,0.23111938,0.62989014,9.283095
1.295,0.24309449,0.676593,9.305848
1.333,0.24309449,0.676593,9.305848
1.353,0.15328126,0.6873706,9.226812
1.374,0.15328126,0.6873706,9.226812
1.396,0.2335144,0.70772827,9.195678
1.416,0.2335144,0.70772827,9.195678
1.437,0.23590942,0.66342044,9.159752
1.457,0.23590942,0.66342044,9.159752
1.478,0.26824218,0.5999524,9.265133
1.498,0.32093263,0.6334827,9.249565
1.519,0.32572266,0.5652246,9.285491
1.539,0.30776,0.5628296,9.3453665
1.559,0.30296996,0.5388794,9.311836
1.58,0.2694397,0.6286926,9.267529
1.6,0.2694397,0.6286926,9.267529
1.621,0.2802173,0.6382727,9.263935
1.641,0.2945874,0.54726195,9.272318
1.662,0.26345214,0.5652246,9.273516
1.682,0.17483643,0.5388794,9.302256
1.703,0.13172607,0.5867798,9.20885
1.723,0.086220704,0.5376819,9.2184305
1.743,0.16884887,0.5448669,9.293873
1.764,0.16525635,0.5508545,9.307046
1.784,0.11615845,0.53049684,9.271121
1.805,0.13771363,0.48858398,9.284293
1.825,0.21195923,0.48618898,9.268725
1.846,0.2826123,0.57001466,9.2184305
1.866,0.2826123,0.57001466,9.2184305
1.886,0.37601808,0.59516233,9.233997
1.907,0.32332763,0.56881714,9.2184305
1.931,0.2838098,0.46343628,9.356144
1.952,0.2838098,0.46343628,9.356144
1.972,0.15687378,0.4670288,9.350156
1.993,0.15687378,0.4670288,9.350156
2.013,0.07544312,0.48379394,9.368119
2.034,0.07544312,0.48379394,9.368119
2.054,0.021555176,0.52450925,9.29028
2.075,0.021555176,0.52450925,9.29028
2.096,0.07903565,0.5867798,9.265133
2.116,0.07903565,0.5867798,9.265133
2.137,0.07903565,0.5867798,9.265133
2.157,0.08981323,0.5376819,9.222023
2.178,0.20836669,0.6274951,9.19448
2.198,0.20836669,0.6274951,9.19448
2.219,0.28500733,0.56881714,9.152567
2.239,0.27662477,0.5185217,9.279503
2.259,0.27662477,0.5185217,9.279503
2.28,0.33410522,0.5736072,9.214838
2.3,0.37721556,0.5017566,9.317823
2.321,0.36284545,0.5604346,9.364527
2.342,0.36284545,0.5604346,9.364527
2.362,0.36284545,0.5604346,9.364527
2.383,0.2802173,0.6753955,9.386082
2.404,0.21555176,0.7855664,9.297466
2.424,0.21555176,0.7855664,9.297466
