Timestamp,X,Y,Z
0.019,-0.42032593,0.26824218,9.467512
0.039,-0.12573853,0.5340893,9.313033
0.06,-0.12573853,0.5340893,9.313033
0.08,-0.3820056,0.5508545,9.250763
0.101,-0.3915857,0.6011499,9.299861
0.121,-0.3915857,0.6011499,9.299861
0.142,-0.17483643,0.5556445,9.241183
0.163,-0.2586621,0.549657,9.278306
0.183,-0.2802173,0.52450925,9.177715
0.204,-0.2802173,0.52450925,9.177715
0.225,-0.23710693,0.46223876,9.139395
0.246,-0.2586621,0.4658313,9.231603
0.267,-0.18202148,0.5221143,9.271121
0.287,-0.18202148,0.5221143,9.271121
0.308,-0.1101709,0.429906,9.317823
0.33,-0.12813355,0.41074586,9.347761
0.351,-0.12813355,0.41074586,9.347761
0.372,-0.07544312,0.44906616,9.374106
0.392,-0.039517824,0.41912842,9.302256
0.413,-0.07544312,0.35206786,9.257948
0.434,-0.14010864,0.46223876,9.217233
0.455,-0.17244141
0.476,-0.183219,0.44786865,9.186097
0.496,-0.183219,0.44786865,9.186097
0.517,-0.25985962,0.47181883,9.259146
0.538,-0.2933899,0.3915857,9.206455
0.56,-0.2933899,0.3915857,9.206455
0.584,-0.26105714,0.32093263,9.325008
0.606,-0.28500733,0.2945874,9.352551
0.627,-0.25985962,0.29817992,9.370514
0.65,-0.25985962,0.29817992,9.370514
0.671,-0.16166382,0.2826123,9.336984
0.692,-0.18202148,0.3161426,9.244776
0.713,-0.14968872,0.36045045,9.26154
0.735,-0.20118164,0.27901977,9.210048
0.755,-0.27542725,0.3305127,9.269923
0.776,-0.22632934,0.35925293,9.226812
0.797,-0.14489868,0.37482056,9.286688
0.818,-0.13172607,0.45625123,9.230405
0.839,-0.16645385,0.4394861,9.248368
0.86,-0.16645385,0.4394861,9.248368
0.881,-0.14968872,0.5376819,9.372909
0.902,-0.17603393,0.5448669,9.268725
0.923,-0.17603393,0.5448669,9.268725
0.944,-0.23111938,0.5412744,9.356144
0.964,-0.13172607,0.5400769,9.26154
0.985,-0.13172607,0.5400769,9.26154
1.005,-0.22752686,0.4047583,9.266331
1.025,-0.22752686,0.4047583,9.266331
1.046,-0.21555176,0.42511597,9.235195
1.066,-0.124541014,0.45744872,9.255553
1.087,-0.12933105,0.44427612,9.268725
1.108,-0.10777588,0.41194335,9.19927
1.128,-0.10777588,0.41194335,9.19927
1.148,-0.068258055,0.43349853,9.273516
1.169,-0.09101074,0.43828857,9.310638
1.189,-0.09101074,0.43828857,9.310638
1.21,-0.07664063,0.36404297,9.268725
1.231,-0.15208374,0.32572266,9.3381815
1.251,-0.15208374,0.32572266,9.3381815
1.272,-0.15208374,0.32572266,9.3381815
1.292,-0.17004639,0.33530274,9.381291
1.313,-0.09460327,0.2945874,9.354946
1.334,-0.11975098,0.30177248,9.360934
1.354,-0.11975098,0.30177248,9.360934
1.375,-0.11975098,0.30177248,9.360934
1.397,-0.026345216,0.43709105,9.139395
1.42,-0.0035925293,0.46343628,9.250763
1.441,-0.039517824,0.4754114,9.237591
1.463,-0.0071850587,0.3915857,9.287886
1.484,-0.0490979,0.26105714,9.326206
1.505,-0.067060545,0.2706372,9.344169
1.525,-0.10059082,0.2574646,9.291478
1.546,-0.15088624,0.32452515,9.3872795
1.567,-0.21914428,0.26105714,9.226812
1.588,-0.21914428,0.26105714,9.226812
1.61,-0.18561402,0.45265868,9.272318
1.631,-0.12573853,0.39637575,9.251961
1.652,-0.12573853,0.39637575,9.251961
1.673,-0.09101074,0.33171022,9.313033
1.695,-0.064665526,0.2814148,9.283095
1.716,-0.064665526,0.2814148,9.283095
1.737,-0.086220704,0.26464966,9.278306
1.758,-0.13651611,0.29937744,9.328601
1.778,-0.13651611,0.29937744,9.328601
1.8,-0.104183346,0.37122804,9.2256155
1.822,-0.20118164,0.29578492,9.219627
1.843,-0.20118164,0.29578492,9.219627
1.865,-0.11256592,0.38440064,9.257948
1.886,-0.08023316,0.37122804,9.301059
1.906,-0.07544312,0.40116578,9.303453
1.927,-0.041912843,0.30177248,9.347761
1.948,-0.068258055,0.29817992,9.339378
1.969,-0.022752685,0.22273682,9.305848
1.99,-0.05149292,0.25027955,9.359736
2.013,-0.12573853,0.27662477,9.329799
2.034,-0.17124389,0.32572266,9.329799
2.054,-0.25027955,0.31015503,9.305848
2.075,-0.22632934,0.39877075,9.2184305
2.096,-0.25267455,0.37601808,9.18011
2.117,-0.25267455,0.37601808,9.18011
2.138,-0.21794678,0.35206786,9.222023
2.159,-0.22632934,0.3329077,9.305848
2.181,-0.183219,0.25506958,9.297466
2.202,-0.183219,0.25506958,9.297466
2.223,-0.183219,0.25506958,9.297466
