Timestamp,X,Y,Z
0.003,0.19399658,0.41314086,9.055569
0.023,0.19399658,0.41314086,9.055569
0.044,0.20237915,0.71850586,9.139395
0.064,0.20237915,0.71850586,9.139395
0.085,0.10657837,0.8562195,9.406439
0.105,0.27303222,0.5005591,9.3944645
0.126,0.27303222,0.5005591,9.3944645
0.146,0.32811767,0.59755737,9.311836
0.167,-0.29219237,0.40116578,8.908276
0.187,0.064665526,0.30416748,9.359736
0.208,-0.22752686,0.41314086,8.993299
0.228,0.2933899,0.84065187,9.608818
0.249,-0.19160156,0.79993653,8.9513855
0.269,-0.1951941,0.5724097,8.85798
0.289,-0.064665526,0.34847534,9.285491
0.31,0.20357665,0.98195803,9.277108
0.33,0.20357665,0.98195803,9.277108
0.351,0.49576905,0.5987549,9.713001
0.371,0.37601808,0.7005432,9.699829
0.392,0.37601808,0.7005432,9.699829
0.412,0.2706372,0.49097902,9.584868
0.433,0.0371228,0.33530274,9.186097
0.453,0.0371228,0.33530274,9.186097
0.474,0.043110352,0.30177248,9.181308
0.494,0.34248778,0.6095325,9.632769
0.514,0.16166382,0.3065625,9.352551
0.535,0.1844165,0.63108766,9.519005
0.555,0.34847534,0.49816406,9.693842
0.576,-0.13891113,0.7101233,8.822055
0.596,-0.14010864,0.2933899,8.95378
0.617,-0.14010864,0.2933899,8.95378
0.637,0.2335144,0.6394702,9.508227
0.658,0.023950195,0.41314086,9.022038
0.678,0.24309449,0.3185376,9.509425
0.699,0.24309449,0.3185376,9.509425
0.719,0.24309449,0.3185376,9.509425
0.74,-0.04790039,0.32452515,9.20406
0.76,0.19040406,0.9196875,9.304651
0.782,-0.0059875487,0.48379394,8.798104
0.803,-0.0059875487,0.48379394,8.798104
0.823,0.27542725,0.76640624,9.577683
0.844,0.27542725,0.76640624,9.577683
0.864,0.3221301,0.5041516,9.711804
0.885,0.3221301,0.5041516,9.711804
0.905,0.3161426,0.5005591,9.735754
0.926,0.11376343,1.0095007,9.334589
0.946,0.05867798,1.0023156,9.092691
0.967,-0.034727782,0.36164796,8.861572
0.987,-0.034727782,0.36164796,8.861572
1.008,0.36404297,0.6730005,9.863888
1.03,0.36404297,0.6730005,9.863888
1.051,-0.0035925293,1.0202783,9.131012
1.072,0.04550537,0.3915857,8.811276
