Timestamp,X,Y,Z
0.011,-0.26105714,-0.52450925,9.336984
0.032,-0.28979737,-0.29817992,9.237591
0.056,-0.21195923,-0.49696654,9.284293
0.076,-0.21076173,-0.25147706,9.2890835
0.097,0.21555176,-0.24668701,9.096284
0.117,-0.0059875487,0.09101074,9.220825
0.138,-0.0059875487,0.09101074,9.220825
0.158,-0.19399658,0.54247195,9.1621475
0.179,-0.022752685,0.37122804,9.206455
0.219,0.24309449,0.25387207,9.201665
0.239,0.24309449,0.25387207,9.201665
0.26,0.24309449,0.25387207,9.201665
0.281,-0.35326537,0.40954834,9.3453665
0.302,-0.29578492,0.29099488,9.459129
0.329,0.43349853,-0.03592529,9.269923
0.35,0.43349853,-0.03592529,9.269923
0.371,0.43349853,-0.03592529,9.269923
0.391,-0.0981958,0.59276736,9.371712
0.412,-0.0981958,0.59276736,9.371712
0.432,-0.3305127,0.74006104,9.389674
0.453,0.33889526,0.8095166,9.254355
0.474,-0.3556604,0.65743285,9.253158
0.494,0.5616321,0.37721556,9.210048
0.514,0.5616321,0.37721556,9.210048
0.535,0.16525635,0.859812,9.142987
0.555,0.34727782,0.29937744,9.163344
0.576,0.34727782,0.29937744,9.163344
0.597,0.3556604,0.35206786,9.198072
0.617,-0.07664063,0.5628296,9.292676
0.638,-0.07664063,0.5628296,9.292676
0.658,0.023950195,0.5556445,9.3381815
0.679,0.3305127,0.8957373,9.154963
0.699,0.3305127,0.8957373,9.154963
0.72,0.41433838,0.44667113,9.1849
0.74,0.24069947,0.42751098,9.233997
0.76,0.41673338,0.65623534,9.309441
0.781,0.3436853,0.33171022,9.293873
0.801,0.37242553,0.74006104,9.51182
0.822,0.41912842,0.42511597,9.245973
0.842,0.41912842,0.42511597,9.245973
0.863,0.432301,0.47660887,9.266331
0.883,-0.05029541,0.59156984,9.096284
0.904,-0.05029541,0.59156984,9.096284
0.924,-0.04790039,0.5556445,9.206455
0.945,0.32572266,0.42751098,9.299861
0.965,0.034727782,0.53289187,9.1765175
0.986,0.034727782,0.53289187,9.1765175
1.006,0.10777588,0.48379394,9.211246
1.027,-0.05867798
1.047,-0.05867798,0.613125,9.172925
1.067,0.19279908,0.73048097,9.177715
1.088,0.3197351,0.8262817,9.489067
1.108,0.05029541,0.63587767,9.093889
1.129,0.22872436,0.89334226,9.401649
1.149,0.22872436,0.89334226,9.401649
1.17,0.3796106,0.674198,9.402846
1.19,0.3796106,0.674198,9.402846
1.211,0.4071533,0.8071216,9.46871
1.231,0.40236327,0.45625123,9.280701
1.251,0.40236327,0.45625123,9.280701
1.272,0.37841308,0.66342044,9.389674
1.292,-0.034727782,0.6430628,9.051976
1.313,0.3927832,0.49457154,9.1693325
1.333,-0.022752685,0.63587767,9.202863
1.354,0.3329077,0.94962525,9.457932
1.374,-0.1484912,0.6861731,8.989706
1.395,0.13651611,0.857417,9.332193
1.415,-0.1101709,0.6586304,9.104667
1.436,-0.09220825,0.7604187,9.107061
1.457,-0.09220825,0.7604187,9.107061
