Timestamp,X,Y,Z
0.006,-0.31015503,1.9830762,10.214758
0.026,-0.31015503,1.9830762,10.214758
0.047,0.17962646,2.6321266,8.963361
0.067,0.17962646,2.6321266,8.963361
0.088,0.17962646,2.6321266,8.963361
0.108,0.26824218,1.7339941,9.115444
0.129,0.26824218,1.7339941,9.115444
0.149,0.069455564,1.7435743,9.206455
0.17,0.069455564,1.7435743,9.206455
0.204,0.17124389,2.066902,9.1130495
0.225,0.11136841,2.0992346,9.21364
0.245,0.11256592,2.142345,9.1130495
0.266,0.11256592,2.142345,9.1130495
0.287,0.21195923,2.0704944,9.006471
0.307,0.25027955,2.0237916,9.028027
0.328,0.25027955,2.0237916,9.028027
0.35,0.2933899,1.9830762,8.957373
0.37,0.2933899,1.9830762,8.957373
0.39,0.35925293,2.1267774,9.010063
0.411,0.35925293,2.1267774,9.010063
0.431,0.35925293,2.1267774,9.010063
0.453,0.27422974,2.020199,9.068742
0.474,0.2215393,2.0237916,9.036408
0.495,0.2215393,2.0237916,9.036408
0.516,0.24309449,2.1770728,9.001681
0.536,0.22632934,2.1974304,8.974138
0.558,0.23710693,2.2680836,8.814869
0.579,0.23710693,2.2680836,8.814869
0.6,0.21435425,2.2129982,8.855585
0.621,0.17842895,2.2345533,8.93462
0.642,0.17842895,2.2345533,8.93462
0.663,0.16166382,2.1794677,9.119037
0.685,0.1472937,2.1507275,9.075927
0.706,0.1472937,2.1507275,9.075927
0.727,0.19998413,2.1842577,9.071136
0.748,0.16166382,2.2046156,9.069939
0.769,0.16166382,2.2046156,9.069939
0.79,0.15567628,2.1207898,9.068742
0.811,0.14609618,2.0824695,9.057964
0.832,0.14609618,2.0824695,9.057964
0.853,0.23830444,2.074087,8.913065
0.873,0.23950195,2.1794677,9.040001
0.894,0.21914428,2.1746778,9.023236
0.916,0.25387207,2.2920337,8.992101
0.937,0.07185058,2.2285657,9.079519
0.958,0.123343505,2.2980213,9.017248
0.98,0.10657837,2.2752686,9.025631
1.003,0.17363891,2.2752686,8.97294
1.023,0.1484912,2.2968237,9.038804
1.044,0.1484912,2.2968237,9.038804
1.065,0.13891113,2.1064196,9.164542
1.086,0.1963916,2.0573218,9.133407
1.107,0.1963916,2.0573218,9.133407
1.128,0.24429199,2.0848646,9.036408
1.149,0.29099488,2.2010229,8.917855
1.17,0.29099488,2.2010229,8.917855
1.191,0.26464966,2.2070105,8.975336
1.212,0.24548951,2.2824535,9.125025
1.235,0.24548951,2.2824535,9.125025
1.256,0.22273682,2.3674767,8.952583
1.276,0.009580079,2.193838,9.081914
1.297,0.009580079,2.193838,9.081914
1.318,0.11855347,2.2333558,9.121432
1.341,0.08741821,2.123185,9.083112
1.362,0.08741821,2.123185,9.083112
1.383,0.17962646,2.1794677,9.011261
1.404,0.3293152,2.2920337,8.927435
1.424,0.18202148,2.1171973,8.964558
1.446,0.22752686,2.2094054,8.981323
1.466,0.19040406,2.3195765,9.040001
1.487,0.3329077,2.386637,8.9022875
1.508,0.26584718,2.4584875,9.043593
1.529,0.016765136
1.55,0.36164796,2.4680676,8.970546
1.571,0.36164796,2.4680676,8.970546
1.592,0.28620484,2.2896388,8.853189
1.613,0.3903882,2.5171654,9.050778
1.634,0.3903882,2.5171654,9.050778
1.655,0.44906616,2.5483007,8.926238
1.678,0.37601808,2.6405091,8.971744
1.7,0.37601808,2.6405091,8.971744
1.72,0.33650026,2.623744,8.9585705
1.741,0.37003052,2.6608667,8.959768
1.765,0.37003052,2.6608667,8.959768
1.786,0.3903882,2.501598,8.992101
1.807,0.4047583,2.5926087,9.051976
1.828,0.4047583,2.5926087,9.051976
1.851,0.45026368,2.7985804,9.097482
1.872,0.45864624,2.926714,8.971744
1.893,0.45864624,2.926714,8.971744
1.913,0.39877075,2.9913795,8.892708
1.934,0.4538562,3.1793885,8.914263
1.955,0.48618898,3.290757,8.836425
1.976,0.47301635,3.417693,8.663983
1.997,0.5783972,3.4727783,8.625663
2.018,0.5736072,3.549419,8.60291
2.039,0.7364685,3.615282,8.407716
2.062,0.6478528,3.3889527,8.3191
2.082,0.6610254,3.4476306,8.448431
2.103,0.6610254,3.4476306,8.448431
2.124,0.47421387,3.3721876,8.619676
2.145,0.5161267,3.4835558,8.707093
2.166,0.5161267,3.4835558,8.707093
2.187,0.57480466,3.5805542,8.545429
2.208,0.23111938,3.253634,9.0004835
2.229,0.23111938,3.253634,9.0004835
2.25,0.30895752,3.1063404,8.950188
2.271,0.21315674,3.1051428,9.193282
