Timestamp,X,Y,Z
0.004,0.014370117,0.16166382,8.8963
0.03,0.21555176,0.20836669,8.757389
0.064,-0.04790039,0.0371228,9.643546
0.084,-0.015567627,0.20836669,9.205257
0.105,-0.015567627,0.20836669,9.205257
0.126,-0.10657837,0.23710693,9.560918
0.147,0.18082398,0.20357665,9.520203
0.167,0.18800904,0.30296996,9.642348
0.188,0.18800904,0.30296996,9.642348
0.208,0.27901977,0.5664221,9.45434
0.229,-0.038320314,0.24788453,9.299861
0.25,-0.038320314,0.24788453,9.299861
0.271,0.16405883,0.2335144,9.605226
0.291,0.16405883,0.2335144,9.605226
0.312,0.16405883,0.2335144,9.605226
0.333,0.43469605,0.34009278,8.8484
0.353,0.2586621,0.48139894,9.456735
0.374,0.2586621,0.48139894,9.456735
0.394,0.2586621,0.48139894,9.456735
0.415,0.11496094,0.09101074,8.745414
0.435,0.05029541,0.10178833,8.792117
0.455,-0.27422974,0.23710693,9.764495
0.476,-0.05987549,0.1472937,8.957373
0.496,0.17244141,0.3676355,9.520203
0.517,0.3820056,0.3436853,8.808882
0.538,0.3820056,0.3436853,8.808882
0.558,-0.14130615,0.24788453,9.448352
0.579,-0.0059875487,-0.0059875487,9.529782
0.599,-0.27303222,0.26464966,9.686657
0.62,-0.27303222,0.26464966,9.686657
0.64,0.033530273,0.10777588,8.728649
0.661,0.4778064,0.60354495,8.884325
0.681,0.4778064,0.60354495,8.884325
0.702,0.2933899,0.74485105,8.850795
0.722,0.45864624,0.85382444,9.111852
0.743,0.45864624,0.85382444,9.111852
0.763,0.19040406,0.34608033,9.571695
0.783,-0.21076173,0.3676355,9.774075
0.804,-0.21076173,0.3676355,9.774075
0.824,-0.18800904,0.39996827,9.665101
0.845,0.34009278,0.7747888,8.715476
0.865,-0.28620484,0.5125342,9.368119
0.886,0.20357665,0.6861731,8.698711
0.906,0.20237915,0.3544629,9.83395
0.926,0.033530273,0.556842,8.974138
0.947,0.033530273,0.556842,8.974138
0.967,0.46942383,0.9627979,8.734636
0.988,0.5340893,0.3161426,8.97294
1.008,0.5340893,0.3161426,8.97294
1.029,0.64665526,0.676593,9.14658
1.049,-0.30895752,0.41194335,9.675879
1.07,0.13052857,0.30177248,9.727372
1.09,0.13052857,0.30177248,9.727372
1.111,0.13052857,0.30177248,9.727372
1.131,-0.25267455,0.41912842,9.546548
1.152,0.368833,0.28620484,9.103469
1.172,-0.22752686,0.3293152,9.623188
1.193,-0.22752686,0.3293152,9.623188
1.213,0.42032593,0.5053491,9.22322
1.234,0.42032593,0.5053491,9.22322
1.254,0.39877075,0.68377805,9.026829
1.275,0.39877075,0.68377805,9.026829
1.295,0.3796106,0.067060545,9.353748
1.316,-0.37841308,0.05748047,9.7321615
1.336,-0.37841308,0.05748047,9.7321615
1.357,-0.19998413,-0.0059875487,9.939331
1.377,0.30895752,0.32811767,8.729846
1.398,-0.4430786,-0.14609618,9.572893
1.418,0.123343505,0.34248778,8.980125
1.439,0.27782226,-0.085023195,9.715397
1.459,-0.04430786,0.20597167,8.983718
1.479,0.37601808,-0.023950195,9.170529
1.5,0.58198977,0.62390256,8.522677
1.52,0.6550378,-0.11136841,8.976533
1.541,0.6550378,-0.11136841,8.976533
1.561,0.7472461,0.067060545,8.962163
