Timestamp,X,Y,Z
0.013,-0.1472937,0.5652246,9.272318
0.043,-0.16166382,0.8214917,9.222023
0.063,-0.17004639,0.7244934,9.248368
0.084,-0.17603393,0.671803,9.272318
0.107,-0.16286133,0.54247195,9.265133
0.129,-0.16286133,0.42751098,9.313033
0.15,-0.1580713,0.47421387,9.376501
0.171,-0.1580713,0.47421387,9.376501
0.192,-0.1580713,0.47421387,9.376501
0.212,0.021555176,0.6885681,9.17532
0.233,-0.008382568,0.71251833,9.174122
0.253,0.06346802,0.798739,9.2747135
0.274,0.06346802,0.798739,9.2747135
0.295,0.06346802,0.798739,9.2747135
0.315,0.041912843,1.2154725,9.422007
0.336,0.081430666,1.2022998,9.370514
0.356,0.081430666,1.2022998,9.370514
0.377,0.07185058,1.8944604,9.280701
0.398,-0.013172608,2.2561083,9.405242
0.418,-0.013172608,2.2561083,9.405242
0.439,0.17363891,2.5423133,9.326206
0.459,0.15088624,2.6764343,9.333391
0.48,0.31135255,3.0177245,8.966953
0.5,0.31135255,3.0177245,8.966953
0.521,0.31135255,3.6476147,9.25675
0.541,0.58198977,3.5997143,8.999286
0.562,0.5484595,3.5973194,9.078321
0.582,0.5484595,3.5973194,9.078321
0.602,0.78915894,3.8308337,9.53098
0.623,0.95321774,4.008065,9.509425
0.643,0.95321774,4.008065,9.509425
0.664,1.3112732,4.0571632,9.226812
0.684,1.2657678,4.196074,8.946595
0.705,1.2657678,4.196074,8.946595
0.725,1.4573693,4.4439588,8.875942
0.746,1.3699511,4.398453,8.836425
0.766,1.1747571,4.2739124,8.91067
0.786,0.7137158,4.052373,9.273516
0.807,0.864602,3.8152661,9.144184
0.828,1.0298584,3.8164637,9.1621475
0.848,0.9520203,3.6440222,9.129814
0.869,0.78915894
0.889,0.55923706,3.6284547,9.158555
0.909,0.55923706,3.6284547,9.158555
0.93,0.48499146,3.5039136,8.98731
0.95,0.32452515,3.5158887,8.826844
0.971,0.32452515,3.5158887,8.826844
0.991,0.41314086,3.432063,8.756191
1.012,0.48259643,3.3458424,8.6699705
1.032,0.48259643,3.3458424,8.6699705
1.053,0.47062135,3.1769934,8.964558
1.073,0.6095325,3.1003528,9.0567665
1.094,0.6885681,2.9171338,8.92504
1.114,0.66701293,2.4153771,9.485475
1.134,0.6825806,2.2393432,9.590856
1.155,0.81670165,1.9651135,9.722582
1.175,0.81670165,1.9651135,9.722582
1.196,1.1723621,1.9447559,9.8447275
1.216,1.1723621,1.9447559,9.8447275
1.237,1.2813355,2.066902,9.872271
1.257,1.2813355,2.066902,9.872271
1.278,1.2370276,1.84177,9.52619
1.298,1.3268409,1.8381774,9.416019
1.319,1.658551,2.2201831,9.148974
1.339,1.5459851,2.518363,8.954978
1.36,1.5459851,2.518363,8.954978
1.38,1.648971,2.6165588,8.799302
1.401,1.7387842,2.8357031,8.841214
1.422,1.780697,2.899171,8.88193
1.443
1.463,2.0561242,2.884801,8.703501
1.484,2.1363573,2.635719,8.801697
1.505,2.15911,2.6021888,8.823252
1.525,2.3040087,2.7003846,9.222023
1.548
1.569,2.4069946,2.5327332,9.513018
1.589,2.4069946,2.5327332,9.513018
1.61,2.2129982,2.2357507,9.457932
1.631,1.9483484,2.2848487,9.563313
1.652,1.9483484,2.2848487,9.563313
1.673,1.719624,2.2752686,9.105865
1.694,1.597478,2.2896388,9.028027
1.718,1.6094531,2.2992187,8.974138
1.739,1.6094531,2.2992187,8.974138
1.76,1.6908838,1.905238,8.97294
1.783,1.6334033,1.8202149,8.921448
1.804,1.6334033,1.8202149,8.921448
1.825,1.7998571,1.7076489,9.069939
1.846,2.1124072,1.592688,9.044791
1.867,2.1124072,1.592688,9.044791
1.888,2.198628,1.0562036,9.129814
1.909,2.205813,0.8095166,9.477093
1.93,2.205813,0.8095166,9.477093
1.951,2.3998096,0.59755737,9.350156
1.972,2.386637,0.49576905,9.601633
1.992,2.386637,0.49576905,9.601633
2.013,2.5423133,0.6286926,9.376501
2.034,2.569856,0.75682616,9.154963
2.055,2.501598,0.7604187,9.144184
2.076,2.3004162,0.852627,9.594448
2.098,2.4872277,0.82747924,9.51182
2.119,2.5243506,0.67898804,9.249565
2.14,2.46208,0.9627979,9.307046
2.161,2.3435266,1.0095007,9.444759
2.182,2.393822,1.043031,9.336984
2.203,2.393822,1.043031,9.336984
2.226,1.7974621,1.5795153,9.447155
2.248,1.7220191,1.4861096,9.101074
2.269,1.5591577,1.4801221,9.018446
2.29,1.5591577,1.4801221,9.018446
2.312,1.8753003,2.1112096,8.804091
2.333,1.893263,2.3543043,8.962163
2.353,1.9890637,2.3159838,8.898695
2.374,1.9890637,2.3159838,8.898695
2.395,2.4656725,2.2608984,8.7262535
2.416,2.753075,2.3219714,8.911868
2.438,2.8488758,2.4357347,9.067544
2.459,2.8488758,2.4357347,9.067544
2.48,2.9614418,1.895658,9.346563
2.501,3.1985486,1.8202149,9.352551
2.522,3.1985486,1.8202149,9.352551
2.542,3.1985486,1.8202149,9.352551
2.563,3.3063245,1.583108,9.657916
2.584,3.270399,1.1759546,9.587263
2.605,3.0476623,1.0322534,9.736952
2.626,2.567461,0.7041357,10.057884
2.648,2.4117846,0.3412903,9.813593
2.669,2.1758752,0.556842,9.845925
2.69,2.1758752,0.556842,9.845925
2.711,2.029779,0.857417,9.849518
2.732,1.9507434,0.8095166,9.762099
2.755,1.2693603,0.85142946,9.390872
2.776,1.2693603,0.85142946,9.390872
2.797,1.0083032,1.4058765,9.400452
2.818,0.6610254,1.3400134,9.060359
2.839,0.6610254,1.3400134,9.060359
2.861,0.38440064,1.0933264,8.88672
2.882,0.91849,1.9196081,9.210048
2.902,0.91849,1.9196081,9.210048
2.923,1.712439,1.9878662,9.329799
2.944,1.597478,1.6884887,9.348959
2.965,1.9196081,1.4837146,9.524993
2.986,2.1136048,1.2825329,9.236393
3.008,2.1842577,1.961521,9.817185
3.029,2.2357507,1.9267932,9.774075
3.05,2.2165906,2.0932472,9.76689
3.07,2.2165906,2.0932472,9.76689
3.091,2.7997777,1.6896863,9.377699
3.112,2.6201513,1.6441809,9.552535
3.133,2.3447242,1.6968713,9.878258
3.158,2.3447242,1.6968713,9.878258
