time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.007913,-0.014986,-0.027753,0.007305
0.017953,-0.004312,-0.022453,0.008428
0.027963,-0.011762,-0.019230,0.009490
0.038003,-0.005363,-0.017110,0.008450
0.048013,-0.011764,-0.018147,0.006291
0.058053,-0.007507,-0.020297,0.006293
0.068093,-0.011773,-0.022429,0.008407
0.078103,-0.007495,-0.017103,0.008444
0.088143,-0.005356,-0.013901,0.007397
0.098153,-0.016043,-0.024546,0.007317
0.108193,-0.007513,-0.022433,0.006282
0.118203,-0.008562,-0.017095,0.007373
0.128243,-0.009625,-0.016023,0.007375
0.138284,-0.008563,-0.018168,0.008436
0.148293,-0.012837,-0.021352,0.007341
0.158334,-0.006441,-0.021378,0.008427
0.168343,-0.008568,-0.020308,0.009494
0.178384,-0.002160,-0.013906,0.006338
0.188394,-0.010698,-0.018151,0.006294
0.198434,-0.007517,-0.024574,0.007340
0.208490,-0.008570,-0.019225,0.006295
0.218500,-0.008569,-0.020303,0.008426
0.228540,-0.008558,-0.014954,0.006315
0.238550,-0.010710,-0.023500,0.008405
0.248590,-0.010707,-0.021354,0.006279
0.258630,-0.012835,-0.021357,0.008409
0.268640,-0.011758,-0.017089,0.008432
0.278681,-0.008568,-0.019230,0.007363
0.288690,-0.011777,-0.023492,0.007334
0.298731,-0.010705,-0.021359,0.007347
0.308740,-0.009622,-0.016033,0.009511
0.318781,-0.008553,-0.014969,0.009519
0.328821,-0.010705,-0.021359,0.007347
0.338831,-0.008569,-0.020303,0.008426
0.348871,-0.009632,-0.019232,0.008428
0.358881,-0.006429,-0.018185,0.010578
0.368921,-0.005351,-0.012838,0.008470
0.378931,-0.009639,-0.022441,0.009481
0.388971,-0.010707,-0.022432,0.008410
0.399011,-0.007491,-0.017113,0.010580
0.409021,-0.007489,-0.014967,0.008454
0.419061,-0.009632,-0.019232,0.008428
0.429071,-0.009642,-0.023509,0.009476
0.439111,-0.009631,-0.019237,0.009496
0.449121,-0.008551,-0.014974,0.010588
0.459161,-0.008560,-0.017100,0.008441
0.469202,-0.012846,-0.024556,0.007326
0.479212,-0.006439,-0.021383,0.009495
0.489252,-0.010701,-0.020296,0.008420
0.499262,-0.004290,-0.014983,0.009531
0.509302,-0.007506,-0.021375,0.008424
0.519312,-0.010711,-0.024573,0.009468
0.529352,-0.007499,-0.018166,0.007371
0.539392,-0.006442,-0.021373,0.007359
0.549402,-0.009619,-0.013887,0.007385
0.559442,-0.009634,-0.019227,0.007360
0.569452,-0.011774,-0.022424,0.007339
0.579492,-0.011767,-0.020293,0.008417
0.589502,-0.005359,-0.014969,0.007392
0.599542,-0.011754,-0.014948,0.007374
0.609583,-0.007502,-0.019234,0.007366
0.619592,-0.007507,-0.020297,0.006293
0.629633,-0.010694,-0.017088,0.007367
0.639642,-0.004290,-0.013905,0.007400
0.649683,-0.009622,-0.014955,0.007380
0.659692,-0.005373,-0.020309,0.007367
0.669733,-0.010690,-0.017098,0.009503
0.679773,-0.006417,-0.012835,0.008467
0.689783,-0.005347,-0.010697,0.007412
0.699823,-0.004306,-0.019239,0.006306
0.709833,-0.007491,-0.017113,0.010580
0.719873,-0.007496,-0.018176,0.009507
0.729883,-0.003233,-0.018190,0.009519
0.739923,-0.010679,-0.012826,0.009524
0.749963,-0.005361,-0.017115,0.009518
0.759973,-0.009649,-0.026718,0.010529
0.770014,-0.011784,-0.027779,0.010518
0.780023,-0.000005,-0.007526,0.010647
0.790064,-0.009631,-0.018159,0.007365
0.800104,-0.013909,-0.023485,0.007328
