Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:30:15 PM,43,0,43
Apr 12, 2018,9:30:15 PM,44,44,43
Apr 12, 2018,9:30:15 PM,48,48,45
Apr 12, 2018,9:30:15 PM,52,52,46
Apr 12, 2018,9:30:16 PM,49,52,47
Apr 12, 2018,9:30:16 PM,47,52,47
Apr 12, 2018,9:30:16 PM,46,52,47
Apr 12, 2018,9:30:16 PM,44,52,46
Apr 12, 2018,9:30:16 PM,43,52,46
Apr 12, 2018,9:30:17 PM,45,52,46
Apr 12, 2018,9:30:17 PM,64,64,47
Apr 12, 2018,9:30:17 PM,92,92,51
Apr 12, 2018,9:30:17 PM,105,105,55
Apr 12, 2018,9:30:17 PM,108,108,59
Apr 12, 2018,9:30:18 PM,108,108,62
Apr 12, 2018,9:30:18 PM,105,108,65
Apr 12, 2018,9:30:18 PM,99,108,67
Apr 12, 2018,9:30:18 PM,96,108,68
Apr 12, 2018,9:30:18 PM,96,108,70
Apr 12, 2018,9:30:19 PM,102,108,71
Apr 12, 2018,9:30:19 PM,96,108,72
Apr 12, 2018,9:30:19 PM,86,108,73
Apr 12, 2018,9:30:19 PM,77,108,73
Apr 12, 2018,9:30:19 PM,79,108,73
Apr 12, 2018,9:30:20 PM,81,108,74
Apr 12, 2018,9:30:20 PM,83,108,74
Apr 12, 2018,9:30:20 PM,75,108,74
Apr 12, 2018,9:30:20 PM,70,108,74
Apr 12, 2018,9:30:20 PM,70,108,74
Apr 12, 2018,9:30:21 PM,59,108,73
Apr 12, 2018,9:30:21 PM,61,108,73
Apr 12, 2018,9:30:21 PM,83,108,73
Apr 12, 2018,9:30:21 PM,99,108,74
Apr 12, 2018,9:30:21 PM,96,108,75
Apr 12, 2018,9:30:22 PM,78,108,75
Apr 12, 2018,9:30:22 PM,70,108,74
Apr 12, 2018,9:30:22 PM,64,108,74
Apr 12, 2018,9:30:22 PM,62,108,74
Apr 12, 2018,9:30:22 PM,77,108,74
Apr 12, 2018,9:30:23 PM,88,108,74
Apr 12, 2018,9:30:23 PM,96,108,75
Apr 12, 2018,9:30:23 PM,92,108,75
Apr 12, 2018,9:30:23 PM,66,108,75
Apr 12, 2018,9:30:23 PM,54,108,74
Apr 12, 2018,9:30:24 PM,70,108,74
Apr 12, 2018,9:30:24 PM,99,108,75
Apr 12, 2018,9:30:24 PM,105,108,76
Apr 12, 2018,9:30:24 PM,105,108,76
Apr 12, 2018,9:30:24 PM,119,119,77
Apr 12, 2018,9:30:25 PM,115,119,78
Apr 12, 2018,9:30:25 PM,105,119,78
Apr 12, 2018,9:30:25 PM,115,119,79
Apr 12, 2018,9:30:25 PM,115,119,80
Apr 12, 2018,9:30:25 PM,115,119,80
Apr 12, 2018,9:30:26 PM,119,119,81
Apr 12, 2018,9:30:26 PM,119,119,82
Apr 12, 2018,9:30:26 PM,115,119,82
Apr 12, 2018,9:30:26 PM,115,119,83
Apr 12, 2018,9:30:26 PM,86,119,83
Apr 12, 2018,9:30:27 PM,59,119,82
Apr 12, 2018,9:30:27 PM,52,119,82
Apr 12, 2018,9:30:27 PM,53,119,81
Apr 12, 2018,9:30:27 PM,51,119,81
Apr 12, 2018,9:30:27 PM,50,119,80
Apr 12, 2018,9:30:28 PM,50,119,80
Apr 12, 2018,9:30:28 PM,60,119,80
Apr 12, 2018,9:30:28 PM,86,119,80
Apr 12, 2018,9:30:28 PM,96,119,80
Apr 12, 2018,9:30:28 PM,111,119,80
Apr 12, 2018,9:30:29 PM,84,119,80
Apr 12, 2018,9:30:29 PM,84,119,81
Apr 12, 2018,9:30:29 PM,99,119,81
Apr 12, 2018,9:30:29 PM,94,119,81
Apr 12, 2018,9:30:29 PM,88,119,81
Apr 12, 2018,9:30:30 PM,71,119,81
Apr 12, 2018,9:30:30 PM,62,119,81
Apr 12, 2018,9:30:30 PM,64,119,80
Apr 12, 2018,9:30:30 PM,77,119,80
Apr 12, 2018,9:30:30 PM,86,119,80
Apr 12, 2018,9:30:31 PM,90,119,81
Apr 12, 2018,9:30:31 PM,94,119,81
Apr 12, 2018,9:30:31 PM,92,119,81
Apr 12, 2018,9:30:31 PM,64,119,81
Apr 12, 2018,9:30:31 PM,55,119,80
Apr 12, 2018,9:30:32 PM,56,119,80
Apr 12, 2018,9:30:32 PM,54,119,80
Apr 12, 2018,9:30:32 PM,56,119,79
Apr 12, 2018,9:30:32 PM,71,119,79
Apr 12, 2018,9:30:32 PM,84,119,79
Apr 12, 2018,9:30:33 PM,81,119,79
Apr 12, 2018,9:30:33 PM,75,119,79
Apr 12, 2018,9:30:33 PM,73,119,79
Apr 12, 2018,9:30:33 PM,77,119,79
Apr 12, 2018,9:30:33 PM,65,119,79
Apr 12, 2018,9:30:34 PM,56,119,79
Apr 12, 2018,9:30:34 PM,54,119,79
Apr 12, 2018,9:30:34 PM,52,119,78
Apr 12, 2018,9:30:34 PM,50,119,78
Apr 12, 2018,9:30:34 PM,57,119,78
Apr 12, 2018,9:30:35 PM,78,119,78
Apr 12, 2018,9:30:35 PM,77,119,78
Apr 12, 2018,9:30:35 PM,74,119,78
Apr 12, 2018,9:30:35 PM,73,119,78
Apr 12, 2018,9:30:35 PM,81,119,78
Apr 12, 2018,9:30:36 PM,102,119,78
Apr 12, 2018,9:30:36 PM,65,119,78
Apr 12, 2018,9:30:36 PM,51,119,78
Apr 12, 2018,9:30:36 PM,70,119,77
Apr 12, 2018,9:30:36 PM,105,119,78
Apr 12, 2018,9:30:37 PM,102,119,78
Apr 12, 2018,9:30:37 PM,108,119,78
Apr 12, 2018,9:30:37 PM,108,119,78
Apr 12, 2018,9:30:37 PM,111,119,79
Apr 12, 2018,9:30:37 PM,94,119,79
Apr 12, 2018,9:30:38 PM,79,119,79
Apr 12, 2018,9:30:38 PM,64,119,79
Apr 12, 2018,9:30:38 PM,61,119,79
Apr 12, 2018,9:30:38 PM,64,119,78
Apr 12, 2018,9:30:38 PM,60,119,78
Apr 12, 2018,9:30:39 PM,52,119,78
Apr 12, 2018,9:30:39 PM,50,119,78
Apr 12, 2018,9:30:39 PM,53,119,78
Apr 12, 2018,9:30:39 PM,60,119,77
Apr 12, 2018,9:30:39 PM,63,119,77
Apr 12, 2018,9:30:40 PM,60,119,77
Apr 12, 2018,9:30:40 PM,53,119,77
Apr 12, 2018,9:30:40 PM,69,119,77
Apr 12, 2018,9:30:40 PM,99,119,77
Apr 12, 2018,9:30:40 PM,99,119,77
Apr 12, 2018,9:30:41 PM,105,119,77
Apr 12, 2018,9:30:41 PM,105,119,78
Apr 12, 2018,9:30:41 PM,102,119,78
Apr 12, 2018,9:30:41 PM,99,119,78
Apr 12, 2018,9:30:41 PM,102,119,78
Apr 12, 2018,9:30:42 PM,94,119,78
Apr 12, 2018,9:30:42 PM,71,119,78
Apr 12, 2018,9:30:42 PM,64,119,78
Apr 12, 2018,9:30:42 PM,63,119,78
Apr 12, 2018,9:30:42 PM,65,119,78
Apr 12, 2018,9:30:43 PM,77,119,78
Apr 12, 2018,9:30:43 PM,71,119,78
Apr 12, 2018,9:30:43 PM,74,119,78
Apr 12, 2018,9:30:43 PM,81,119,78
Apr 12, 2018,9:30:43 PM,81,119,78
Apr 12, 2018,9:30:44 PM,90,119,78
Apr 12, 2018,9:30:44 PM,88,119,78
Apr 12, 2018,9:30:44 PM,108,119,78
Apr 12, 2018,9:30:44 PM,88,119,78
Apr 12, 2018,9:30:44 PM,79,119,78
Apr 12, 2018,9:30:45 PM,83,119,78
Apr 12, 2018,9:30:45 PM,83,119,78
Apr 12, 2018,9:30:45 PM,92,119,78
Apr 12, 2018,9:30:45 PM,102,119,79
Apr 12, 2018,9:30:45 PM,71,119,79
Apr 12, 2018,9:30:46 PM,55,119,78
Apr 12, 2018,9:30:46 PM,56,119,78
Apr 12, 2018,9:30:46 PM,56,119,78
Apr 12, 2018,9:30:46 PM,55,119,78
