time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.008951,-0.143946,-0.046729,0.043178
0.008951,-0.143946,-0.046729,0.043178
0.018961,-0.042327,0.065960,0.082447
0.039011,0.027529,-0.083535,0.030659
0.049051,-0.028707,0.027880,-0.004220
0.059061,-0.043806,-0.033986,-0.009896
0.069101,-0.000028,-0.002065,-0.014965
0.079111,0.028592,-0.069529,0.004023
0.089151,0.011625,-0.033119,-0.005466
0.099161,-0.021352,-0.007356,-0.010776
0.109201,-0.016063,-0.028792,0.001956
0.119211,-0.003213,-0.019329,0.024469
0.129251,0.008452,-0.048267,0.038251
0.139261,-0.002186,-0.026752,0.012686
0.149301,-0.011795,-0.022358,-0.006548
0.159311,-0.002243,-0.034111,-0.011918
0.169351,0.002045,-0.030972,-0.001209
0.179392,0.007347,-0.043830,0.004086
0.199442,-0.000084,-0.034204,0.006247
0.199442,-0.000084,-0.034204,0.006247
0.209451,-0.000084,-0.042823,0.022230
0.219492,0.003104,-0.054652,0.037138
0.229501,-0.000160,-0.071668,0.024229
0.239542,-0.001272,-0.074746,-0.001425
0.249551,0.006214,-0.064081,-0.003491
0.259592,-0.003333,-0.056650,0.012541
0.269601,-0.006499,-0.051356,0.024308
0.279642,-0.004363,-0.043837,0.013667
0.289652,-0.005425,-0.038458,0.006212
0.299692,-0.003276,-0.030980,0.004117
0.309702,-0.011773,-0.027814,0.017996
0.319742,-0.007517,-0.028881,0.014798
0.329752,-0.006475,-0.030964,0.003040
0.339792,-0.005392,-0.024560,0.003074
0.349802,-0.008578,-0.019200,0.000954
0.359842,-0.008590,-0.026701,0.006259
0.369852,-0.006453,-0.023494,0.004144
0.379892,-0.007518,-0.021339,0.000946
0.389932,-0.001126,-0.022428,0.000959
0.399942,-0.007513,-0.020277,0.002020
0.409982,-0.004333,-0.027773,0.004129
0.419992,-0.007513,-0.020277,0.002020
0.430032,-0.006453,-0.022416,0.002013
0.440058,-0.008580,-0.020268,0.000949
0.450098,-0.004336,-0.027762,0.001993
0.460108,-0.007527,-0.026694,0.004126
0.470148,-0.009649,-0.021332,0.000941
0.480158,-0.003257,-0.023499,0.003084
0.490199,-0.011775,-0.019190,0.000945
0.500208,-0.006466,-0.028839,0.005187
0.510249,-0.004315,-0.021365,0.004160
0.520258,-0.007523,-0.023475,0.000936
0.530299,-0.004317,-0.020282,0.000960
0.540308,-0.006459,-0.024552,0.002002
0.550349,-0.004333,-0.027773,0.004129
0.560358,-0.007510,-0.019209,0.002025
0.570399,-0.006450,-0.021348,0.002018
0.580408,-0.003249,-0.019217,0.000968
0.590449,-0.006462,-0.026698,0.004129
0.600489,-0.005394,-0.026706,0.005200
0.610499,-0.009648,-0.020259,-0.000123
0.620539,-0.003254,-0.021353,0.000958
0.630549,-0.008573,-0.018137,0.002027
0.640589,-0.006469,-0.029907,0.005182
0.650599,-0.007514,-0.021349,0.003083
0.660639,-0.006458,-0.023479,0.000939
0.670649,-0.006446,-0.019207,0.000960
0.680689,-0.007520,-0.023485,0.003073
0.690699,-0.005397,-0.026696,0.003063
0.700739,-0.008579,-0.020273,0.002017
0.710749,-0.008588,-0.023477,0.002002
0.720789,-0.009637,-0.017061,0.000961
0.730799,-0.005393,-0.025633,0.004137
0.740839,-0.004326,-0.025642,0.005208
0.750849,-0.008580,-0.020268,0.000949
0.760889,-0.002190,-0.022430,0.002024
0.770899,-0.006449,-0.020275,0.000954
0.780939,-0.005403,-0.028832,0.003053
0.790949,-0.005383,-0.022434,0.005220
0.800990,-0.008584,-0.020258,-0.001188
0.811030,-0.003251,-0.020285,0.000963
0.821040,-0.008592,-0.024540,0.000928
0.831080,-0.006467,-0.028834,0.004119
0.841090,-0.009639,-0.017056,-0.000107
0.851130,-0.006446,-0.019207,0.000960
0.861140,-0.007507,-0.018141,0.002030
0.871180,-0.007523,-0.024553,0.003068
0.881190,-0.005397,-0.027774,0.005195
0.891230,-0.008569,-0.015996,0.000969
0.901240,-0.002178,-0.018158,0.002045
0.911280,-0.008585,-0.021331,-0.000125
0.921290,-0.002191,-0.023503,0.003087
0.931330,-0.006446,-0.020285,0.003091
0.941340,-0.006446,-0.019207,0.000960
0.951380,-0.006449,-0.020275,0.000954
0.961390,-0.006468,-0.027755,0.001987
0.971430,-0.008598,-0.027754,0.003050
0.981440,-0.005380,-0.018132,-0.001169
0.991480,-0.009643,-0.019197,0.000951
1.001490,-0.008580,-0.020268,0.000949
1.011530,-0.004336,-0.027762,0.001993
1.021571,-0.000071,-0.028859,0.005204
1.031580,-0.009640,-0.018129,0.000956
1.041621,-0.004318,-0.019204,-0.001171
1.051630,-0.000070,-0.026708,0.002010
1.061671,-0.008589,-0.024550,0.003065
1.071680,-0.000065,-0.026723,0.005214
1.081721,-0.007516,-0.022422,0.004146
1.091731,-0.003255,-0.019197,-0.003304
1.101771,-0.007535,-0.028825,0.003047
1.111781,-0.009645,-0.020270,0.002014
1.121821,-0.008576,-0.019205,0.002022
1.131831,-0.005375,-0.020304,0.006298
1.141871,-0.010726,-0.022372,-0.004408
1.151881,-0.003263,-0.026713,0.005206
1.161921,-0.005392,-0.023482,0.000942
1.171931,-0.006438,-0.017076,0.002038
1.181971,-0.005379,-0.019216,0.002031
1.191981,-0.007531,-0.024528,-0.002273
1.202021,-0.005394,-0.025628,0.003068
1.212031,-0.005383,-0.021356,0.003089
1.222071,-0.004310,-0.019229,0.004170
1.232111,-0.008585,-0.021331,-0.000125
1.242121,-0.008601,-0.027743,0.000913
1.252161,-0.007520,-0.023485,0.003073
1.262171,-0.005379,-0.019216,0.002031
1.272211,-0.006452,-0.022421,0.003081
1.282221,-0.004316,-0.019209,-0.000103
1.292262,-0.007535,-0.028825,0.003047
1.302271,-0.002187,-0.021362,0.002029
1.312312,-0.011766,-0.017064,0.003091
1.322321,-0.003260,-0.024567,0.003079
1.332362,-0.007521,-0.021329,-0.001190
1.342371,-0.006466,-0.026682,0.000924
1.352412,-0.005374,-0.018153,0.003104
1.362421,-0.009642,-0.019202,0.002019
1.372462,-0.003258,-0.024572,0.004148
1.382471,-0.007535,-0.027747,0.000916
1.392512,-0.002194,-0.024571,0.003082
1.402522,-0.010703,-0.018135,0.003089
1.412562,-0.003256,-0.022426,0.002021
1.422572,-0.004320,-0.021350,0.000955
1.432608,-0.006477,-0.030959,0.001972
1.442648,-0.003250,-0.020290,0.002031
1.452658,-0.010704,-0.019208,0.004152
1.462698,-0.002193,-0.024576,0.004151
1.472708,-0.010719,-0.022392,-0.000136
1.482748,-0.005392,-0.024560,0.003074
1.492758,-0.006446,-0.020285,0.003091
1.502798,-0.009634,-0.017071,0.003097
1.512808,-0.003258,-0.024572,0.004148
1.522848,-0.009655,-0.024546,0.003062
1.532858,-0.003257,-0.023499,0.003084
1.542898,-0.008566,-0.016006,0.003105
1.552908,-0.005384,-0.022429,0.004152
1.572958,-0.006463,-0.027771,0.005192
1.572958,-0.006463,-0.027771,0.005192
1.582998,-0.003248,-0.020295,0.003100
1.593008,-0.008573,-0.019215,0.004158
1.603049,-0.005387,-0.023497,0.004147
1.613058,-0.010722,-0.023460,-0.000141
1.623099,-0.008590,-0.025623,0.004128
1.633108,-0.006443,-0.019217,0.003096
1.643149,-0.005384,-0.022429,0.004152
1.653189,-0.004317,-0.021360,0.003092
1.663199,-0.008593,-0.025613,0.001992
1.673239,-0.003265,-0.025630,0.002006
1.683249,-0.008570,-0.017069,0.002032
1.693289,-0.005390,-0.024565,0.004142
1.703299,-0.004317,-0.020282,0.000960
1.713339,-0.003272,-0.028839,0.003059
1.723349,-0.003251,-0.020285,0.000963
1.733389,-0.007509,-0.019214,0.003093
1.743399,-0.003254,-0.022431,0.003090
1.753439,-0.008591,-0.024545,0.001997
1.763449,-0.003264,-0.026708,0.004137
1.773489,-0.006443,-0.018139,0.000965
1.783499,-0.002191,-0.023503,0.003087
1.793539,-0.004326,-0.023486,0.000945
1.803549,-0.008598,-0.026676,0.000918
1.813589,-0.003256,-0.022426,0.002021
1.823599,-0.009633,-0.015998,0.002034
1.833639,-0.003257,-0.023499,0.003084
