time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.009962,-0.008579,-0.020273,0.002017
0.020002,-0.002181,-0.021382,0.006302
0.030012,-0.005379,-0.022445,0.007356
0.040053,-0.010707,-0.020276,0.004147
0.050062,-0.000051,-0.019228,0.000977
0.060103,-0.014997,-0.027718,-0.000173
0.070112,-0.002175,-0.019246,0.006312
0.080153,0.002087,-0.020333,0.007387
0.090193,-0.016039,-0.022405,0.006259
0.100203,-0.004320,-0.020272,-0.001176
0.110243,-0.002180,-0.019231,0.003108
0.120253,-0.012849,-0.023468,0.003058
0.130293,-0.010709,-0.021349,0.005210
0.140303,-0.004310,-0.018151,0.002039
0.150343,-0.002189,-0.021357,0.000961
0.160383,-0.010707,-0.020276,0.004147
0.170393,0.002076,-0.022454,0.004172
0.190443,-0.002189,-0.021357,0.000961
0.190443,-0.002189,-0.021357,0.000961
0.200483,-0.007516,-0.021344,0.002015
0.210493,-0.010722,-0.024538,0.001991
0.220534,-0.003242,-0.019238,0.005241
0.230574,-0.007513,-0.020277,0.002020
0.240584,-0.008580,-0.021346,0.003080
0.250624,-0.006452,-0.022421,0.003081
0.260634,-0.007517,-0.022417,0.003078
0.270674,-0.012836,-0.019201,0.004147
0.290724,-0.008583,-0.021336,0.000944
0.290724,-0.008583,-0.021336,0.000944
0.300764,-0.006453,-0.023494,0.004144
0.310774,-0.003247,-0.020300,0.004168
0.320814,-0.011771,-0.020278,0.005213
0.330824,-0.004318,-0.019204,-0.001171
0.340864,-0.005377,-0.019221,0.003099
0.350874,-0.007520,-0.023485,0.003073
0.360914,-0.006444,-0.019212,0.002028
0.370955,-0.007518,-0.021339,0.000946
0.391005,-0.001121,-0.021365,0.002032
0.391005,-0.001121,-0.021365,0.002032
0.401014,-0.008579,-0.021351,0.004148
0.411055,-0.010709,-0.020271,0.003079
0.421065,-0.000053,-0.019223,-0.000091
0.431105,-0.007514,-0.021349,0.003083
0.441145,-0.009653,-0.023473,0.001999
0.451155,-0.002181,-0.020304,0.004171
0.461217,-0.008574,-0.019210,0.003090
0.471227,-0.008585,-0.021331,-0.000125
0.481267,-0.004318,-0.022433,0.004155
0.491277,-0.008585,-0.022409,0.002007
0.501317,-0.007507,-0.019219,0.004161
0.511358,-0.008583,-0.021336,0.000944
0.521367,-0.006446,-0.019207,0.000960
0.531408,-0.003257,-0.023499,0.003084
0.541417,-0.007522,-0.023480,0.002005
0.551458,-0.013897,-0.018135,0.005217
0.561467,-0.002197,-0.024560,0.000946
0.571508,-0.010709,-0.020271,0.003079
0.581548,-0.002198,-0.026712,0.004140
0.591558,-0.007506,-0.018146,0.003098
0.601598,-0.006458,-0.023479,0.000939
0.611608,-0.012842,-0.019181,-0.000126
0.621648,-0.003257,-0.022421,0.000953
0.631658,-0.007520,-0.023485,0.003073
0.641698,-0.007512,-0.019204,0.000957
0.651738,-0.007513,-0.019198,-0.000112
0.661748,-0.007516,-0.020266,-0.000117
0.671788,-0.007523,-0.023475,0.000936
0.681798,-0.005390,-0.023487,0.002010
0.691838,-0.012840,-0.017035,-0.002253
0.701848,-0.008587,-0.020248,-0.003324
0.711889,-0.004331,-0.022392,-0.004391
0.721929,-0.011788,-0.023456,-0.000144
0.731939,-0.005388,-0.019185,-0.004379
0.741979,-0.013922,-0.020210,-0.007612
0.751989,-0.005410,-0.022348,-0.012939
0.762029,-0.003276,-0.023438,-0.009734
0.772039,-0.009677,-0.025554,-0.009762
0.782079,-0.006460,-0.020239,-0.006523
0.792119,-0.011803,-0.023411,-0.009757
0.802129,-0.005405,-0.020208,-0.013997
0.812169,-0.008609,-0.026640,-0.006559
0.822179,-0.005395,-0.022394,-0.003325
0.832219,-0.006461,-0.023469,-0.001197
0.842229,-0.009650,-0.019176,-0.003322
0.852269,-0.003256,-0.020270,-0.002241
0.862310,-0.011782,-0.021320,-0.000133
0.872319,-0.003250,-0.020290,0.002031
0.882360,-0.012835,-0.017050,0.000952
0.892369,-0.003258,-0.021343,-0.001178
0.902410,-0.008585,-0.022409,0.002007
0.912420,-0.003256,-0.022426,0.002021
0.922460,-0.007516,-0.021344,0.002015
0.932500,-0.004322,-0.021345,-0.000113
0.942510,-0.009657,-0.022385,-0.002269
0.952550,-0.009646,-0.021343,0.003077
0.962560,-0.003253,-0.021358,0.002026
0.972600,-0.008587,-0.021326,-0.001193
0.982610,-0.012842,-0.019181,-0.000126
0.992650,-0.000067,-0.024562,-0.000116
1.002691,-0.011775,-0.020268,0.003076
1.012700,-0.007518,-0.021339,0.000946
1.022741,-0.017107,-0.019162,-0.001206
1.032750,-0.001129,-0.022418,-0.001177
1.042791,-0.012849,-0.023468,0.003058
1.052800,-0.005393,-0.024555,0.002005
1.062841,-0.008570,-0.017069,0.002032
1.072881,-0.004319,-0.021355,0.002023
1.082891,-0.008577,-0.020278,0.003085
1.092931,-0.006456,-0.023484,0.002007
1.102941,-0.010709,-0.020271,0.003079
1.112981,-0.011776,-0.020263,0.002008
1.122991,-0.006446,-0.020285,0.003091
1.133031,-0.009649,-0.021332,0.000941
1.143071,-0.009653,-0.023473,0.001999
1.153081,-0.005387,-0.022419,0.002015
1.163121,-0.010715,-0.021329,0.000938
1.173131,-0.006453,-0.022416,0.002013
1.183171,-0.007516,-0.021344,0.002015
1.193181,-0.010715,-0.021329,0.000938
1.203222,-0.008579,-0.020273,0.002017
1.213262,-0.008583,-0.021336,0.000944
1.223272,-0.006453,-0.022416,0.002013
1.233312,-0.010718,-0.023475,0.003064
1.243322,-0.006449,-0.020275,0.000954
1.253362,-0.010700,-0.017067,0.003094
1.263372,-0.005387,-0.022419,0.002015
1.273412,-0.004326,-0.023486,0.000945
1.283452,-0.009649,-0.022411,0.003072
1.293462,-0.005389,-0.022414,0.000947
1.303502,-0.012835,-0.018128,0.003083
1.313512,-0.001123,-0.021360,0.000964
1.323552,-0.012840,-0.020264,0.003073
1.333562,-0.006452,-0.021343,0.000949
1.343602,-0.007519,-0.022412,0.002010
1.343602,-0.007519,-0.022412,0.002010
1.363652,-0.007513,-0.020277,0.002020
1.373693,-0.004323,-0.022418,0.000950
1.383702,-0.011782,-0.022399,0.001998
1.393743,-0.005379,-0.019216,0.002031
1.403753,-0.008588,-0.022399,-0.000130
1.413793,-0.010712,-0.020261,0.000943
1.423833,-0.005390,-0.023487,0.002010
1.433843,-0.010708,-0.019198,0.002016
1.443883,-0.009643,-0.020275,0.003082
1.453893,-0.005391,-0.022409,-0.000121
1.463956,-0.010712,-0.021339,0.003074
1.473966,-0.006459,-0.024552,0.002002
1.484006,-0.009637,-0.017061,0.000961
1.494047,-0.010712,-0.020261,0.000943
1.504056,-0.007519,-0.021334,-0.000122
1.514097,-0.012851,-0.024541,0.004121
1.524106,-0.007519,-0.022412,0.002010
1.534147,-0.010708,-0.019198,0.002016
1.544156,-0.009655,-0.023468,0.000931
1.554197,-0.010715,-0.022407,0.003069
1.564237,-0.010712,-0.020261,0.000943
1.574247,-0.014978,-0.021315,0.000926
1.584287,-0.011779,-0.021331,0.002003
1.594297,-0.006452,-0.022421,0.003081
1.604337,-0.012839,-0.019191,0.002010
1.614347,-0.004317,-0.021360,0.003092
1.624387,-0.010704,-0.019208,0.004152
1.634427,-0.012845,-0.021327,0.002000
1.644437,-0.005384,-0.021351,0.002021
1.654477,-0.010710,-0.020266,0.002011
1.664487,-0.004314,-0.019214,0.000965
1.674527,-0.005381,-0.020283,0.002026
1.684537,-0.006452,-0.022421,0.003081
1.694578,-0.004317,-0.020282,0.000960
1.704587,-0.007517,-0.022417,0.003078
1.714628,-0.005377,-0.020299,0.005230
1.724668,-0.005377,-0.018143,0.000968
1.734678,-0.006449,-0.021353,0.003086
1.744718,-0.005381,-0.020283,0.002026
1.754728,-0.005378,-0.020294,0.004162
1.764768,-0.009641,-0.020280,0.004150
1.774778,-0.011769,-0.018132,0.003086
1.784818,-0.005384,-0.021351,0.002021
1.794858,-0.011772,-0.019200,0.003081
1.804868,-0.004315,-0.021365,0.004160
1.814908,-0.008577,-0.021356,0.005216
1.824918,-0.008579,-0.020273,0.002017
1.834958,-0.006454,-0.023489,0.003076
1.844968,-0.005381,-0.020283,0.002026
1.855008,-0.007508,-0.020292,0.005224
1.865049,-0.008582,-0.021341,0.002012
1.875058,-0.007513,-0.021355,0.004151
1.885099,-0.012842,-0.020259,0.002005
1.895109,-0.002190,-0.023508,0.004156
1.905149,-0.009637,-0.018139,0.003092
1.915159,-0.008579,-0.020273,0.002017
1.925199,-0.011776,-0.020263,0.002008
1.935239,-0.009644,-0.021348,0.004145
1.945249,-0.005381,-0.021361,0.004157
1.955289,-0.010704,-0.019208,0.004152
1.965299,-0.011776,-0.020263,0.002008
1.975339,-0.006453,-0.022416,0.002013
1.985349,-0.010713,-0.021334,0.002006
1.995389,-0.005387,-0.022419,0.002015
2.005430,-0.008579,-0.020273,0.002017
2.015439,-0.008589,-0.023472,0.000933
2.025480,-0.004323,-0.023496,0.003082
2.035489,-0.004320,-0.021350,0.000955
2.045530,-0.009643,-0.020275,0.003082
2.055539,-0.005395,-0.024550,0.000937
2.065580,-0.005390,-0.023487,0.002010
2.075620,-0.011780,-0.022404,0.003066
2.085630,-0.004314,-0.020292,0.003097
2.095670,-0.008579,-0.021351,0.004148
