time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
0.001715,0.064880,-0.049341,0.001014
0.011724,-0.033107,-0.025533,0.001924
0.021765,-0.010721,-0.022387,-0.001204
0.031774,0.005277,-0.021396,0.004186
0.041815,-0.001133,-0.025637,0.002012
0.051824,-0.005392,-0.024560,0.003074
0.061865,-0.008586,-0.023482,0.003070
0.071874,-0.003268,-0.023464,-0.004393
0.081915,-0.004371,-0.027651,-0.021507
0.091955,-0.009632,-0.020310,0.010559
0.101965,0.003126,-0.027792,0.003082
0.112005,-0.009648,-0.021338,0.002009
0.122015,-0.004317,-0.020282,0.000960
0.132055,-0.003254,-0.022431,0.003090
0.142065,-0.005393,-0.025633,0.004137
0.152105,-0.005384,-0.022429,0.004152
0.162115,-0.004319,-0.021355,0.002023
0.172155,-0.006455,-0.022411,0.000944
0.182165,-0.007521,-0.022407,0.000941
0.192205,-0.006454,-0.023489,0.003076
0.202237,-0.008582,-0.021341,0.002012
0.212277,-0.000058,-0.022437,0.002030
0.222318,-0.008585,-0.022409,0.002007
0.232327,-0.008588,-0.023477,0.002002
0.242368,-0.000062,-0.025656,0.005220
0.252377,-0.009650,-0.022405,0.002004
0.262418,-0.007515,-0.020271,0.000952
0.272427,-0.000063,-0.024578,0.003088
0.282468,-0.010719,-0.023470,0.001996
0.292478,-0.005387,-0.023497,0.004147
0.302518,-0.007521,-0.022407,0.000941
0.312528,-0.007516,-0.021344,0.002015
0.322568,-0.007520,-0.023485,0.003073
0.332608,-0.005390,-0.024565,0.004142
0.342618,-0.006450,-0.021348,0.002018
0.352658,-0.005388,-0.021341,-0.000116
0.362668,-0.003253,-0.021358,0.002026
0.372708,-0.008591,-0.024545,0.001997
0.382718,-0.003260,-0.024567,0.003079
0.392758,-0.008582,-0.021341,0.002012
0.402768,-0.006450,-0.021348,0.002018
0.412808,-0.002190,-0.022430,0.002024
0.422818,-0.007522,-0.023480,0.002005
0.432858,-0.007517,-0.022417,0.003078
0.442868,-0.006453,-0.022416,0.002013
0.452908,-0.010713,-0.021334,0.002006
0.462949,-0.000067,-0.025640,0.002015
0.472958,-0.001131,-0.025642,0.003080
0.482999,-0.014977,-0.021320,0.001994
0.493009,-0.004314,-0.019214,0.000965
0.503049,-0.003251,-0.021363,0.003095
0.513059,-0.009661,-0.025604,0.000920
0.523099,-0.005385,-0.023502,0.005215
0.533109,-0.005383,-0.020278,0.000957
0.543149,-0.007521,-0.022407,0.000941
0.553159,-0.005387,-0.022419,0.002015
0.563199,-0.007523,-0.024553,0.003068
0.573209,-0.008584,-0.023487,0.004138
0.583249,-0.004320,-0.021350,0.000955
0.593289,-0.007516,-0.021344,0.002015
0.603299,-0.007519,-0.022412,0.002010
0.613339,-0.003266,-0.026703,0.003069
0.623349,-0.010712,-0.020261,0.000943
0.633389,-0.002192,-0.022425,0.000956
0.643399,-0.005389,-0.022414,0.000947
0.653439,-0.008589,-0.024550,0.003065
0.663449,-0.001123,-0.022438,0.003095
0.673489,-0.007516,-0.020266,-0.000117
0.683499,-0.007513,-0.020277,0.002020
0.693540,-0.000063,-0.024578,0.003088
0.703549,-0.006453,-0.023494,0.004144
0.713590,-0.005383,-0.021356,0.003089
0.723630,0.001009,-0.021367,0.000970
0.733640,-0.008571,-0.018142,0.003095
0.743680,-0.008577,-0.021356,0.005216
0.753690,-0.003254,-0.022431,0.003090
0.763730,-0.006426,-0.014961,0.006321
0.773740,0.008476,-0.021412,0.005263
0.783780,-0.012840,-0.020264,0.003073
0.793790,-0.005386,-0.021346,0.000952
0.803830,-0.002189,-0.024586,0.006287
0.813840,-0.014977,-0.020242,-0.000137
0.823880,-0.000039,-0.017112,0.005260
0.833920,-0.008582,-0.021341,0.002012
0.843930,-0.010722,-0.025616,0.004122
0.853970,0.001006,-0.024591,0.005228
0.863980,-0.010706,-0.018125,0.000953
0.874020,-0.004318,-0.022433,0.004155
0.884030,-0.011782,-0.022399,0.001998
0.894071,-0.007520,-0.023485,0.003073
0.904080,-0.002187,-0.022440,0.004161
0.914121,-0.009653,-0.023473,0.001999
0.924130,-0.005380,-0.020288,0.003094
0.934171,-0.002199,-0.024555,-0.000122
0.944180,-0.012839,-0.021347,0.006273
0.954221,-0.007514,-0.021349,0.003083
0.964261,-0.004322,-0.022423,0.002018
0.974271,-0.011776,-0.021341,0.004139
0.984311,-0.001132,-0.024564,0.000949
0.994321,-0.009641,-0.021358,0.006282
1.004361,-0.006452,-0.022421,0.003081
1.014371,-0.005384,-0.022429,0.004152
1.024411,-0.009647,-0.022416,0.004140
1.034421,-0.006460,-0.025625,0.003066
1.044461,-0.006444,-0.021368,0.006290
1.054471,-0.006451,-0.023499,0.005212
1.064511,-0.006453,-0.023494,0.004144
1.074521,-0.007519,-0.023490,0.004141
1.084561,0.002080,-0.022464,0.006309
1.094602,-0.005383,-0.022434,0.005220
1.104611,-0.008577,-0.021356,0.005216
1.114652,-0.009644,-0.022426,0.006277
1.124661,-0.002188,-0.024591,0.007355
1.134702,-0.006441,-0.021378,0.008427
1.144711,-0.005380,-0.021367,0.005225
1.154752,-0.003251,-0.022441,0.005226
1.164761,-0.010712,-0.022417,0.005205
1.174802,-0.007514,-0.023506,0.007346
1.184811,-0.007505,-0.020302,0.007361
1.194852,-0.005384,-0.023507,0.006283
1.204857,-0.004326,-0.025642,0.005208
1.214897,-0.007517,-0.023495,0.005209
1.224937,-0.006442,-0.021373,0.007359
1.234947,-0.009647,-0.022416,0.004140
1.244987,-0.007515,-0.023501,0.006277
1.254997,-0.008584,-0.024565,0.006269
1.265037,-0.006453,-0.024572,0.006275
1.275047,-0.003248,-0.022452,0.007362
1.285087,-0.009643,-0.021353,0.005213
1.295097,-0.005393,-0.025633,0.004137
1.305137,-0.010714,-0.023485,0.005200
1.315147,-0.005378,-0.022450,0.008425
1.325187,-0.007513,-0.022433,0.006282
1.335228,-0.009644,-0.022426,0.006277
1.345237,-0.005384,-0.023507,0.006283
1.355278,-0.005385,-0.023502,0.005215
1.365287,-0.011773,-0.021351,0.006276
1.375328,-0.007510,-0.021365,0.006287
1.385337,-0.003251,-0.023519,0.007357
1.395378,-0.009644,-0.023504,0.008408
1.405388,-0.001116,-0.023536,0.009499
1.415428,-0.007503,-0.020307,0.008429
1.425438,-0.007513,-0.022433,0.006282
1.435478,-0.007515,-0.024579,0.008409
1.445488,-0.008577,-0.022434,0.007348
1.455528,-0.002183,-0.023528,0.008428
1.465568,-0.006444,-0.022446,0.008422
1.475578,-0.001116,-0.022458,0.007368
1.485618,-0.004315,-0.023521,0.008423
1.495628,-0.006439,-0.021383,0.009495
1.505668,-0.007508,-0.021370,0.007356
1.515678,-0.011770,-0.020283,0.006281
1.525718,-0.004321,-0.024579,0.006281
1.535728,-0.006445,-0.023519,0.009485
1.545768,-0.008571,-0.021376,0.009489
1.555778,-0.007511,-0.022438,0.007351
1.565818,-0.011770,-0.020283,0.006281
1.575828,-0.010710,-0.022422,0.006274
1.585869,-0.006445,-0.022441,0.007354
1.595909,-0.006444,-0.022446,0.008422
1.605919,-0.006441,-0.021378,0.008427
1.615959,-0.005382,-0.023513,0.007351
1.625969,-0.011773,-0.022429,0.008407
1.636009,-0.006442,-0.021373,0.007359
1.646019,-0.009631,-0.019237,0.009496
1.656059,-0.006451,-0.024577,0.007343
1.666069,-0.006444,-0.022446,0.008422
1.676109,-0.005376,-0.021377,0.007362
1.686119,-0.009631,-0.019237,0.009496
1.696159,-0.008569,-0.020303,0.008426
1.706169,-0.004314,-0.022448,0.007359
1.716209,-0.011775,-0.023497,0.008402
1.726249,-0.000047,-0.022472,0.009507
1.736259,-0.005378,-0.022450,0.008425
1.746299,-0.013900,-0.020281,0.007343
1.756309,-0.004315,-0.023521,0.008423
1.766349,-0.010708,-0.023505,0.009473
1.776359,-0.005378,-0.022450,0.008425
1.786400,-0.004313,-0.023526,0.009491
1.796409,-0.006448,-0.023509,0.007348
1.806450,-0.008576,-0.023512,0.009479
1.816459,-0.007509,-0.022443,0.008419
1.826500,-0.009635,-0.021378,0.010554
1.836540,-0.011765,-0.020298,0.009485
1.846550,-0.001119,-0.023526,0.007363
1.856590,-0.009641,-0.022436,0.008413
1.866600,-0.006439,-0.021383,0.009495
1.876640,-0.007499,-0.020322,0.011633
1.886650,-0.007501,-0.019239,0.008434
1.896690,-0.004313,-0.023526,0.009491
1.906700,-0.003243,-0.022467,0.010567
1.916740,-0.006433,-0.020326,0.011636
1.926750,-0.006437,-0.021388,0.010563
1.936790,-0.007509,-0.022443,0.008419
1.946800,-0.010701,-0.021375,0.010551
1.956840,-0.003243,-0.022467,0.010567
1.966880,-0.005373,-0.021387,0.009498
1.976890,-0.009635,-0.020300,0.008423
1.986931,-0.008572,-0.022449,0.010552
1.996940,-0.008574,-0.022444,0.009484
2.006981,-0.006440,-0.022456,0.010558
2.016990,-0.008572,-0.022449,0.010552
2.027031,-0.007512,-0.023511,0.008414
2.037040,-0.008574,-0.022444,0.009484
2.047081,-0.004309,-0.022463,0.010564
2.057090,-0.009629,-0.019242,0.010564
2.067131,-0.010701,-0.021375,0.010551
2.077140,-0.004313,-0.023526,0.009491
2.087181,-0.014968,-0.022424,0.009466
2.097221,-0.006439,-0.022461,0.011626
2.107231,-0.008563,-0.019246,0.010567
2.117271,-0.008572,-0.022449,0.010552
2.127281,-0.007508,-0.022448,0.009487
2.137321,-0.007512,-0.024589,0.010545
2.147331,-0.006436,-0.021393,0.011631
2.157371,-0.007503,-0.022463,0.012692
2.167381,-0.000053,-0.024608,0.009497
2.177421,-0.008572,-0.023527,0.012684
2.187431,-0.004310,-0.022458,0.009496
2.197494,-0.008563,-0.020324,0.012699
2.207504,-0.007503,-0.021385,0.010560
2.217544,-0.007506,-0.022453,0.010555
2.227585,-0.007510,-0.024594,0.011613
2.237594,-0.007499,-0.020322,0.011633
2.247635,-0.006434,-0.021398,0.012700
2.257644,-0.007499,-0.019244,0.009502
2.267685,-0.012828,-0.020305,0.011619
