Timestamp,X,Y,Z
0.009,0.20956421,-0.8454419,9.299861
0.03,0.20956421,-0.8454419,9.299861
0.05,0.23590942,-0.8586145,9.295071
0.07,0.23590942,-0.8586145,9.295071
0.091,0.17004639,-0.8250842,9.342971
0.111,0.17004639,-0.8250842,9.342971
0.132,0.13172607,-0.80472654,9.216035
0.153,0.13172607,-0.80472654,9.216035
0.174,0.19878662,-0.86220706,9.156159
0.195,0.22393432,-0.87178713,9.29028
0.216,0.22393432,-0.87178713,9.29028
0.237,0.22393432,-0.87178713,9.29028
0.258,0.22393432,-0.87178713,9.29028
0.279,0.22393432,-0.87178713,9.29028
0.299,0.2586621,-0.8418494,9.1849
0.32,0.31734008,-0.84424436,9.230405
0.341,0.28740233,-0.8298743,9.1849
0.361,0.28740233,-0.8298743,9.1849
0.382,0.28740233,-0.8298743,9.1849
0.403,0.23830444,-0.80592406,9.140592
0.424,0.20118164,-0.8214917,9.328601
0.445,0.2814148,-0.82747924,9.138197
0.466,0.17842895,-0.84065187,9.376501
0.487,0.25387207,-0.8346643,9.145382
0.508,0.25387207,-0.8346643,9.145382
0.529,0.26345214,-0.8478369,9.187295
0.55,0.11136841,-0.8586145,9.301059
0.571,0.1844165,-0.8789722,9.271121
0.593,0.15328126,-0.86699706,9.152567
0.614,0.17004639,-0.8370593,9.255553
0.635,0.24908203,-0.83346677,9.249565
0.656,0.18920654,-0.8346643,9.299861
0.677,0.26225463,-0.8909473,9.19927
0.698,0.13172607,-0.8262817,9.317823
0.719,0.13172607,-0.8262817,9.317823
0.74,0.19878662,-0.80472654,9.127419
0.761,0.25147706,-0.69575316,9.237591
0.781,0.25147706,-0.69575316,9.237591
0.803,0.23471192,-0.6442602,9.2328005
0.825,0.26584718,-0.6598279,9.183702
0.846,0.26584718,-0.6598279,9.183702
0.867,0.34009278,-0.7220984,9.20885
0.888,0.34009278,-0.7220984,9.20885
0.909,0.25506958,-0.5939648,9.24238
0.93,0.25506958,-0.5939648,9.24238
0.95,0.2215393,-0.5736072,9.303453
0.971,0.27422974,-0.72928345,9.302256
0.992,0.27422974,-0.72928345,9.302256
1.013,0.2933899,-0.7197034,9.260343
1.034,0.2933899,-0.7197034,9.260343
1.054,0.26704466,-0.62989014,9.229208
