Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,8:44:26 PM,39,0,39
Apr 12, 2018,8:44:26 PM,39,39,39
Apr 12, 2018,8:44:26 PM,41,41,39
Apr 12, 2018,8:44:26 PM,43,43,40
Apr 12, 2018,8:44:27 PM,44,44,41
Apr 12, 2018,8:44:27 PM,47,47,42
Apr 12, 2018,8:44:27 PM,46,47,42
Apr 12, 2018,8:44:27 PM,43,47,42
Apr 12, 2018,8:44:27 PM,42,47,42
Apr 12, 2018,8:44:28 PM,43,47,42
Apr 12, 2018,8:44:28 PM,47,47,43
Apr 12, 2018,8:44:28 PM,56,56,44
Apr 12, 2018,8:44:28 PM,71,71,46
Apr 12, 2018,8:44:28 PM,81,81,48
Apr 12, 2018,8:44:29 PM,86,86,51
Apr 12, 2018,8:44:29 PM,90,90,53
Apr 12, 2018,8:44:29 PM,92,92,55
Apr 12, 2018,8:44:29 PM,99,99,58
Apr 12, 2018,8:44:29 PM,102,102,60
Apr 12, 2018,8:44:30 PM,96,102,62
Apr 12, 2018,8:44:30 PM,96,102,63
Apr 12, 2018,8:44:30 PM,99,102,65
Apr 12, 2018,8:44:30 PM,86,102,66
Apr 12, 2018,8:44:30 PM,74,102,66
Apr 12, 2018,8:44:31 PM,70,102,66
Apr 12, 2018,8:44:31 PM,70,102,66
Apr 12, 2018,8:44:31 PM,71,102,67
Apr 12, 2018,8:44:31 PM,83,102,67
Apr 12, 2018,8:44:31 PM,99,102,68
Apr 12, 2018,8:44:32 PM,90,102,69
Apr 12, 2018,8:44:32 PM,86,102,70
Apr 12, 2018,8:44:32 PM,96,102,70
Apr 12, 2018,8:44:32 PM,83,102,71
Apr 12, 2018,8:44:32 PM,66,102,71
Apr 12, 2018,8:44:33 PM,61,102,70
Apr 12, 2018,8:44:33 PM,68,102,70
Apr 12, 2018,8:44:33 PM,90,102,71
Apr 12, 2018,8:44:33 PM,96,102,71
Apr 12, 2018,8:44:33 PM,96,102,72
Apr 12, 2018,8:44:34 PM,99,102,73
Apr 12, 2018,8:44:34 PM,115,115,74
Apr 12, 2018,8:44:34 PM,105,115,74
Apr 12, 2018,8:44:34 PM,83,115,75
Apr 12, 2018,8:44:34 PM,70,115,74
Apr 12, 2018,8:44:35 PM,73,115,74
Apr 12, 2018,8:44:35 PM,84,115,75
Apr 12, 2018,8:44:35 PM,94,115,75
Apr 12, 2018,8:44:35 PM,96,115,75
Apr 12, 2018,8:44:35 PM,96,115,76
Apr 12, 2018,8:44:36 PM,86,115,76
Apr 12, 2018,8:44:36 PM,77,115,76
Apr 12, 2018,8:44:36 PM,63,115,76
Apr 12, 2018,8:44:36 PM,62,115,76
Apr 12, 2018,8:44:36 PM,75,115,76
Apr 12, 2018,8:44:37 PM,68,115,75
Apr 12, 2018,8:44:37 PM,79,115,75
Apr 12, 2018,8:44:37 PM,105,115,76
Apr 12, 2018,8:44:37 PM,105,115,76
Apr 12, 2018,8:44:37 PM,94,115,77
Apr 12, 2018,8:44:38 PM,88,115,77
Apr 12, 2018,8:44:38 PM,71,115,77
Apr 12, 2018,8:44:38 PM,56,115,76
Apr 12, 2018,8:44:38 PM,54,115,76
Apr 12, 2018,8:44:38 PM,54,115,76
Apr 12, 2018,8:44:39 PM,53,115,75
Apr 12, 2018,8:44:39 PM,53,115,75
Apr 12, 2018,8:44:39 PM,53,115,75
Apr 12, 2018,8:44:39 PM,61,115,74
Apr 12, 2018,8:44:39 PM,84,115,75
Apr 12, 2018,8:44:40 PM,94,115,75
Apr 12, 2018,8:44:40 PM,83,115,75
Apr 12, 2018,8:44:40 PM,71,115,75
Apr 12, 2018,8:44:40 PM,60,115,75
Apr 12, 2018,8:44:40 PM,60,115,75
Apr 12, 2018,8:44:41 PM,66,115,74
Apr 12, 2018,8:44:41 PM,64,115,74
Apr 12, 2018,8:44:41 PM,61,115,74
Apr 12, 2018,8:44:41 PM,69,115,74
Apr 12, 2018,8:44:41 PM,83,115,74
Apr 12, 2018,8:44:42 PM,96,115,74
Apr 12, 2018,8:44:42 PM,90,115,75
Apr 12, 2018,8:44:42 PM,88,115,75
Apr 12, 2018,8:44:42 PM,83,115,75
Apr 12, 2018,8:44:42 PM,90,115,75
Apr 12, 2018,8:44:43 PM,92,115,75
Apr 12, 2018,8:44:43 PM,88,115,75
Apr 12, 2018,8:44:43 PM,92,115,76
Apr 12, 2018,8:44:43 PM,79,115,76
Apr 12, 2018,8:44:43 PM,68,115,75
Apr 12, 2018,8:44:44 PM,64,115,75
Apr 12, 2018,8:44:44 PM,57,115,75
Apr 12, 2018,8:44:44 PM,54,115,75
Apr 12, 2018,8:44:44 PM,56,115,75
Apr 12, 2018,8:44:44 PM,61,115,75
Apr 12, 2018,8:44:45 PM,55,115,74
Apr 12, 2018,8:44:45 PM,50,115,74
Apr 12, 2018,8:44:45 PM,46,115,74
Apr 12, 2018,8:44:45 PM,48,115,73
Apr 12, 2018,8:44:45 PM,53,115,73
Apr 12, 2018,8:44:46 PM,59,115,73
Apr 12, 2018,8:44:46 PM,61,115,73
Apr 12, 2018,8:44:46 PM,73,115,73
Apr 12, 2018,8:44:46 PM,88,115,73
Apr 12, 2018,8:44:46 PM,78,115,73
Apr 12, 2018,8:44:47 PM,78,115,73
Apr 12, 2018,8:44:47 PM,73,115,73
Apr 12, 2018,8:44:47 PM,75,115,73
Apr 12, 2018,8:44:47 PM,79,115,73
Apr 12, 2018,8:44:47 PM,65,115,73
Apr 12, 2018,8:44:48 PM,68,115,73
Apr 12, 2018,8:44:48 PM,66,115,73
Apr 12, 2018,8:44:48 PM,61,115,73
Apr 12, 2018,8:44:48 PM,52,115,73
Apr 12, 2018,8:44:48 PM,57,115,73
Apr 12, 2018,8:44:49 PM,81,115,73
Apr 12, 2018,8:44:49 PM,99,115,73
Apr 12, 2018,8:44:49 PM,102,115,73
Apr 12, 2018,8:44:49 PM,105,115,73
Apr 12, 2018,8:44:49 PM,94,115,74
Apr 12, 2018,8:44:50 PM,90,115,74
Apr 12, 2018,8:44:50 PM,81,115,74
Apr 12, 2018,8:44:50 PM,81,115,74
Apr 12, 2018,8:44:50 PM,92,115,74
Apr 12, 2018,8:44:50 PM,94,115,74
Apr 12, 2018,8:44:51 PM,96,115,74
Apr 12, 2018,8:44:51 PM,81,115,74
Apr 12, 2018,8:44:51 PM,66,115,74
Apr 12, 2018,8:44:51 PM,59,115,74
Apr 12, 2018,8:44:51 PM,75,115,74
Apr 12, 2018,8:44:52 PM,102,115,74
Apr 12, 2018,8:44:52 PM,96,115,75
Apr 12, 2018,8:44:52 PM,102,115,75
Apr 12, 2018,8:44:52 PM,108,115,75
Apr 12, 2018,8:44:52 PM,94,115,75
Apr 12, 2018,8:44:53 PM,71,115,75
Apr 12, 2018,8:44:53 PM,61,115,75
Apr 12, 2018,8:44:53 PM,62,115,75
Apr 12, 2018,8:44:53 PM,57,115,75
Apr 12, 2018,8:44:53 PM,51,115,75
Apr 12, 2018,8:44:54 PM,53,115,74
Apr 12, 2018,8:44:54 PM,68,115,74
Apr 12, 2018,8:44:54 PM,75,115,74
Apr 12, 2018,8:44:54 PM,75,115,74
Apr 12, 2018,8:44:54 PM,83,115,74
Apr 12, 2018,8:44:55 PM,79,115,74
Apr 12, 2018,8:44:55 PM,74,115,74
Apr 12, 2018,8:44:55 PM,69,115,74
Apr 12, 2018,8:44:55 PM,71,115,74
Apr 12, 2018,8:44:55 PM,94,115,75
Apr 12, 2018,8:44:56 PM,84,115,75
Apr 12, 2018,8:44:56 PM,66,115,75
Apr 12, 2018,8:44:56 PM,61,115,74
Apr 12, 2018,8:44:56 PM,66,115,74
Apr 12, 2018,8:44:56 PM,71,115,74
Apr 12, 2018,8:44:57 PM,74,115,74
Apr 12, 2018,8:44:57 PM,78,115,74
Apr 12, 2018,8:44:57 PM,83,115,74
Apr 12, 2018,8:44:57 PM,99,115,75
Apr 12, 2018,8:44:57 PM,90,115,75
Apr 12, 2018,8:44:58 PM,68,115,75
Apr 12, 2018,8:44:58 PM,57,115,75
Apr 12, 2018,8:44:58 PM,65,115,74
Apr 12, 2018,8:44:58 PM,70,115,74
Apr 12, 2018,8:44:58 PM,65,115,74
Apr 12, 2018,8:44:59 PM,64,115,74
Apr 12, 2018,8:44:59 PM,68,115,74
Apr 12, 2018,8:44:59 PM,75,115,74
Apr 12, 2018,8:44:59 PM,94,115,74
Apr 12, 2018,8:44:59 PM,102,115,75
Apr 12, 2018,8:45:00 PM,102,115,75
Apr 12, 2018,8:45:00 PM,99,115,75
Apr 12, 2018,8:45:00 PM,99,115,75
Apr 12, 2018,8:45:00 PM,102,115,75
Apr 12, 2018,8:45:00 PM,102,115,75
Apr 12, 2018,8:45:01 PM,94,115,75
Apr 12, 2018,8:45:01 PM,94,115,75
Apr 12, 2018,8:45:01 PM,102,115,76
Apr 12, 2018,8:45:01 PM,96,115,76
Apr 12, 2018,8:45:01 PM,88,115,76
Apr 12, 2018,8:45:02 PM,86,115,76
Apr 12, 2018,8:45:02 PM,79,115,76
Apr 12, 2018,8:45:02 PM,79,115,76
Apr 12, 2018,8:45:02 PM,81,115,76
Apr 12, 2018,8:45:02 PM,74,115,76
Apr 12, 2018,8:45:03 PM,77,115,76
Apr 12, 2018,8:45:03 PM,81,115,76
Apr 12, 2018,8:45:03 PM,81,115,76
Apr 12, 2018,8:45:03 PM,74,115,76
Apr 12, 2018,8:45:03 PM,64,115,76
Apr 12, 2018,8:45:04 PM,64,115,76
Apr 12, 2018,8:45:04 PM,78,115,76
Apr 12, 2018,8:45:04 PM,96,115,76
Apr 12, 2018,8:45:04 PM,96,115,76
Apr 12, 2018,8:45:04 PM,96,115,76
Apr 12, 2018,8:45:05 PM,115,115,76
Apr 12, 2018,8:45:05 PM,105,115,76
Apr 12, 2018,8:45:05 PM,102,115,77
Apr 12, 2018,8:45:05 PM,108,115,77
Apr 12, 2018,8:45:05 PM,108,115,77
Apr 12, 2018,8:45:06 PM,99,115,77
Apr 12, 2018,8:45:06 PM,99,115,77
Apr 12, 2018,8:45:06 PM,92,115,77
Apr 12, 2018,8:45:06 PM,94,115,77
Apr 12, 2018,8:45:06 PM,90,115,77
Apr 12, 2018,8:45:07 PM,77,115,77
Apr 12, 2018,8:45:07 PM,64,115,77
Apr 12, 2018,8:45:07 PM,60,115,77
Apr 12, 2018,8:45:07 PM,62,115,77
Apr 12, 2018,8:45:07 PM,73,115,77
Apr 12, 2018,8:45:08 PM,90,115,77
Apr 12, 2018,8:45:08 PM,90,115,77
Apr 12, 2018,8:45:08 PM,68,115,77
Apr 12, 2018,8:45:08 PM,53,115,77
Apr 12, 2018,8:45:08 PM,68,115,77
Apr 12, 2018,8:45:09 PM,99,115,77
Apr 12, 2018,8:45:09 PM,99,115,77
Apr 12, 2018,8:45:09 PM,71,115,77
Apr 12, 2018,8:45:09 PM,65,115,77
Apr 12, 2018,8:45:09 PM,66,115,77
Apr 12, 2018,8:45:10 PM,77,115,77
Apr 12, 2018,8:45:10 PM,99,115,77
Apr 12, 2018,8:45:10 PM,99,115,77
Apr 12, 2018,8:45:10 PM,83,115,77
Apr 12, 2018,8:45:10 PM,70,115,77
Apr 12, 2018,8:45:11 PM,77,115,77
Apr 12, 2018,8:45:11 PM,86,115,77
Apr 12, 2018,8:45:11 PM,71,115,77
Apr 12, 2018,8:45:11 PM,74,115,77
Apr 12, 2018,8:45:11 PM,94,115,77
Apr 12, 2018,8:45:12 PM,69,115,77
Apr 12, 2018,8:45:12 PM,52,115,77
Apr 12, 2018,8:45:12 PM,69,115,77
Apr 12, 2018,8:45:12 PM,88,115,77
Apr 12, 2018,8:45:12 PM,84,115,77
Apr 12, 2018,8:45:13 PM,86,115,77
Apr 12, 2018,8:45:13 PM,90,115,77
Apr 12, 2018,8:45:13 PM,62,115,77
Apr 12, 2018,8:45:13 PM,52,115,77
Apr 12, 2018,8:45:13 PM,61,115,77
Apr 12, 2018,8:45:14 PM,81,115,77
Apr 12, 2018,8:45:14 PM,92,115,77
Apr 12, 2018,8:45:14 PM,92,115,77
Apr 12, 2018,8:45:14 PM,94,115,77
Apr 12, 2018,8:45:14 PM,96,115,77
Apr 12, 2018,8:45:15 PM,94,115,77
Apr 12, 2018,8:45:15 PM,102,115,77
Apr 12, 2018,8:45:15 PM,102,115,78
Apr 12, 2018,8:45:15 PM,111,115,78
Apr 12, 2018,8:45:15 PM,105,115,78
Apr 12, 2018,8:45:16 PM,71,115,78
Apr 12, 2018,8:45:16 PM,55,115,78
Apr 12, 2018,8:45:16 PM,54,115,78
Apr 12, 2018,8:45:16 PM,55,115,77
Apr 12, 2018,8:45:16 PM,68,115,77
Apr 12, 2018,8:45:17 PM,79,115,77
Apr 12, 2018,8:45:17 PM,90,115,77
Apr 12, 2018,8:45:17 PM,88,115,78
Apr 12, 2018,8:45:17 PM,61,115,77
Apr 12, 2018,8:45:17 PM,52,115,77
Apr 12, 2018,8:45:18 PM,52,115,77
Apr 12, 2018,8:45:18 PM,68,115,77
Apr 12, 2018,8:45:18 PM,96,115,77
Apr 12, 2018,8:45:18 PM,105,115,77
Apr 12, 2018,8:45:18 PM,94,115,77
Apr 12, 2018,8:45:19 PM,88,115,77
Apr 12, 2018,8:45:19 PM,88,115,78
Apr 12, 2018,8:45:19 PM,90,115,78
Apr 12, 2018,8:45:19 PM,90,115,78
Apr 12, 2018,8:45:19 PM,83,115,78
Apr 12, 2018,8:45:20 PM,78,115,78
Apr 12, 2018,8:45:20 PM,84,115,78
Apr 12, 2018,8:45:20 PM,88,115,78
Apr 12, 2018,8:45:20 PM,83,115,78
Apr 12, 2018,8:45:20 PM,64,115,78
Apr 12, 2018,8:45:21 PM,59,115,78
Apr 12, 2018,8:45:21 PM,59,115,78
Apr 12, 2018,8:45:21 PM,59,115,77
Apr 12, 2018,8:45:21 PM,59,115,77
Apr 12, 2018,8:45:21 PM,59,115,77
Apr 12, 2018,8:45:22 PM,59,115,77
Apr 12, 2018,8:45:22 PM,59,115,77
Apr 12, 2018,8:45:22 PM,59,115,77
Apr 12, 2018,8:45:22 PM,59,115,77
Apr 12, 2018,8:45:22 PM,59,115,77
Apr 12, 2018,8:45:23 PM,59,115,77
Apr 12, 2018,8:45:23 PM,59,115,77
Apr 12, 2018,8:45:23 PM,59,115,77
Apr 12, 2018,8:45:23 PM,59,115,77
Apr 12, 2018,8:45:23 PM,59,115,77
Apr 12, 2018,8:45:24 PM,59,115,77
Apr 12, 2018,8:45:24 PM,59,115,77
Apr 12, 2018,8:45:24 PM,59,115,76
Apr 12, 2018,8:45:24 PM,59,115,76
Apr 12, 2018,8:45:24 PM,59,115,76
Apr 12, 2018,8:45:25 PM,59,115,76
Apr 12, 2018,8:45:25 PM,59,115,76
Apr 12, 2018,8:45:25 PM,59,115,76
Apr 12, 2018,8:45:25 PM,59,115,76
Apr 12, 2018,8:45:25 PM,59,115,76
Apr 12, 2018,8:45:26 PM,59,115,76
Apr 12, 2018,8:45:26 PM,59,115,76
Apr 12, 2018,8:45:26 PM,59,115,76
Apr 12, 2018,8:45:26 PM,59,115,76
Apr 12, 2018,8:45:26 PM,59,115,76
Apr 12, 2018,8:45:27 PM,59,115,76
Apr 12, 2018,8:45:27 PM,59,115,76
Apr 12, 2018,8:45:27 PM,59,115,76
Apr 12, 2018,8:45:27 PM,59,115,76
Apr 12, 2018,8:45:27 PM,59,115,75
Apr 12, 2018,8:45:28 PM,59,115,75
Apr 12, 2018,8:45:28 PM,59,115,75
Apr 12, 2018,8:45:28 PM,59,115,75
Apr 12, 2018,8:45:28 PM,59,115,75
Apr 12, 2018,8:45:28 PM,59,115,75
Apr 12, 2018,8:45:29 PM,59,115,75
Apr 12, 2018,8:45:29 PM,59,115,75
Apr 12, 2018,8:45:29 PM,44,115,75
Apr 12, 2018,8:45:29 PM,45,115,75
Apr 12, 2018,8:45:29 PM,44,115,75
Apr 12, 2018,8:45:30 PM,44,115,75
Apr 12, 2018,8:45:30 PM,46,115,75
Apr 12, 2018,8:45:30 PM,46,115,75
Apr 12, 2018,8:45:30 PM,44,115,74
Apr 12, 2018,8:45:30 PM,45,115,74
Apr 12, 2018,8:45:31 PM,46,115,74
Apr 12, 2018,8:45:31 PM,44,115,74
Apr 12, 2018,8:45:31 PM,43,115,74
Apr 12, 2018,8:45:35 PM,43,115,74
