Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,8:26:28 PM,39,0,39
Apr 12, 2018,8:26:29 PM,40,40,39
Apr 12, 2018,8:26:29 PM,41,41,40
Apr 12, 2018,8:26:29 PM,42,42,40
Apr 12, 2018,8:26:29 PM,44,44,41
Apr 12, 2018,8:26:29 PM,41,44,41
Apr 12, 2018,8:26:30 PM,41,44,41
Apr 12, 2018,8:26:30 PM,41,44,41
Apr 12, 2018,8:26:30 PM,41,44,41
Apr 12, 2018,8:26:30 PM,39,44,40
Apr 12, 2018,8:26:30 PM,38,44,40
Apr 12, 2018,8:26:31 PM,40,44,40
Apr 12, 2018,8:26:31 PM,42,44,40
Apr 12, 2018,8:26:31 PM,44,44,40
Apr 12, 2018,8:26:31 PM,46,46,41
Apr 12, 2018,8:26:31 PM,45,46,41
Apr 12, 2018,8:26:32 PM,44,46,41
Apr 12, 2018,8:26:32 PM,44,46,41
Apr 12, 2018,8:26:32 PM,45,46,41
Apr 12, 2018,8:26:32 PM,45,46,42
Apr 12, 2018,8:26:32 PM,46,46,42
Apr 12, 2018,8:26:33 PM,48,48,42
Apr 12, 2018,8:26:33 PM,47,48,42
Apr 12, 2018,8:26:33 PM,45,48,42
Apr 12, 2018,8:26:33 PM,45,48,42
Apr 12, 2018,8:26:33 PM,46,48,43
Apr 12, 2018,8:26:34 PM,45,48,43
Apr 12, 2018,8:26:34 PM,46,48,43
Apr 12, 2018,8:26:34 PM,46,48,43
Apr 12, 2018,8:26:34 PM,46,48,43
Apr 12, 2018,8:26:34 PM,46,48,43
Apr 12, 2018,8:26:35 PM,45,48,43
Apr 12, 2018,8:26:35 PM,45,48,43
Apr 12, 2018,8:26:35 PM,46,48,43
Apr 12, 2018,8:26:35 PM,45,48,43
Apr 12, 2018,8:26:35 PM,47,48,43
Apr 12, 2018,8:26:36 PM,47,48,43
Apr 12, 2018,8:26:36 PM,46,48,43
Apr 12, 2018,8:26:36 PM,46,48,43
Apr 12, 2018,8:26:36 PM,46,48,44
Apr 12, 2018,8:26:36 PM,46,48,44
Apr 12, 2018,8:26:37 PM,45,48,44
Apr 12, 2018,8:26:37 PM,46,48,44
Apr 12, 2018,8:26:37 PM,46,48,44
Apr 12, 2018,8:26:37 PM,46,48,44
Apr 12, 2018,8:26:37 PM,46,48,44
Apr 12, 2018,8:26:38 PM,46,48,44
Apr 12, 2018,8:26:38 PM,45,48,44
Apr 12, 2018,8:26:38 PM,45,48,44
Apr 12, 2018,8:26:38 PM,46,48,44
Apr 12, 2018,8:26:38 PM,46,48,44
Apr 12, 2018,8:26:39 PM,46,48,44
Apr 12, 2018,8:26:39 PM,46,48,44
Apr 12, 2018,8:26:39 PM,46,48,44
Apr 12, 2018,8:26:39 PM,46,48,44
Apr 12, 2018,8:26:39 PM,46,48,44
Apr 12, 2018,8:26:40 PM,46,48,44
Apr 12, 2018,8:26:40 PM,46,48,44
Apr 12, 2018,8:26:40 PM,46,48,44
Apr 12, 2018,8:26:40 PM,45,48,44
Apr 12, 2018,8:26:40 PM,45,48,44
Apr 12, 2018,8:26:41 PM,46,48,44
Apr 12, 2018,8:26:41 PM,46,48,44
Apr 12, 2018,8:26:41 PM,46,48,44
Apr 12, 2018,8:26:41 PM,46,48,44
Apr 12, 2018,8:26:41 PM,47,48,44
Apr 12, 2018,8:26:42 PM,46,48,44
Apr 12, 2018,8:26:42 PM,46,48,44
Apr 12, 2018,8:26:42 PM,46,48,44
Apr 12, 2018,8:26:42 PM,46,48,44
Apr 12, 2018,8:26:42 PM,47,48,44
Apr 12, 2018,8:26:43 PM,47,48,44
Apr 12, 2018,8:26:43 PM,47,48,44
Apr 12, 2018,8:26:43 PM,47,48,44
Apr 12, 2018,8:26:43 PM,47,48,44
Apr 12, 2018,8:26:43 PM,47,48,44
Apr 12, 2018,8:26:44 PM,47,48,45
Apr 12, 2018,8:26:44 PM,47,48,45
Apr 12, 2018,8:26:44 PM,47,48,45
Apr 12, 2018,8:26:44 PM,47,48,45
Apr 12, 2018,8:26:44 PM,46,48,45
Apr 12, 2018,8:26:45 PM,46,48,45
Apr 12, 2018,8:26:45 PM,46,48,45
Apr 12, 2018,8:26:45 PM,47,48,45
