Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:15:59 PM,42,0,42
Apr 12, 2018,9:15:59 PM,41,41,41
Apr 12, 2018,9:16:00 PM,41,41,41
Apr 12, 2018,9:16:00 PM,43,43,41
Apr 12, 2018,9:16:00 PM,43,43,42
Apr 12, 2018,9:16:00 PM,43,43,42
Apr 12, 2018,9:16:00 PM,44,44,42
Apr 12, 2018,9:16:01 PM,45,45,42
Apr 12, 2018,9:16:01 PM,44,45,42
Apr 12, 2018,9:16:01 PM,43,45,42
Apr 12, 2018,9:16:01 PM,43,45,42
Apr 12, 2018,9:16:01 PM,43,45,42
Apr 12, 2018,9:16:02 PM,43,45,42
Apr 12, 2018,9:16:02 PM,43,45,42
Apr 12, 2018,9:16:02 PM,43,45,42
Apr 12, 2018,9:16:02 PM,45,45,43
Apr 12, 2018,9:16:02 PM,44,45,43
Apr 12, 2018,9:16:03 PM,44,45,43
Apr 12, 2018,9:16:03 PM,44,45,43
Apr 12, 2018,9:16:03 PM,45,45,43
Apr 12, 2018,9:16:03 PM,47,47,43
Apr 12, 2018,9:16:03 PM,47,47,43
Apr 12, 2018,9:16:04 PM,48,48,43
Apr 12, 2018,9:16:04 PM,48,48,44
Apr 12, 2018,9:16:04 PM,48,48,44
Apr 12, 2018,9:16:04 PM,47,48,44
Apr 12, 2018,9:16:04 PM,47,48,44
Apr 12, 2018,9:16:05 PM,47,48,44
Apr 12, 2018,9:16:05 PM,47,48,44
Apr 12, 2018,9:16:05 PM,47,48,44
Apr 12, 2018,9:16:05 PM,47,48,44
Apr 12, 2018,9:16:05 PM,47,48,44
Apr 12, 2018,9:16:06 PM,46,48,44
Apr 12, 2018,9:16:06 PM,47,48,44
Apr 12, 2018,9:16:06 PM,47,48,44
Apr 12, 2018,9:16:06 PM,47,48,45
Apr 12, 2018,9:16:06 PM,47,48,45
Apr 12, 2018,9:16:07 PM,47,48,45
Apr 12, 2018,9:16:07 PM,47,48,45
Apr 12, 2018,9:16:07 PM,46,48,45
Apr 12, 2018,9:16:07 PM,47,48,45
Apr 12, 2018,9:16:07 PM,46,48,45
Apr 12, 2018,9:16:08 PM,46,48,45
Apr 12, 2018,9:16:08 PM,47,48,45
Apr 12, 2018,9:16:08 PM,47,48,45
Apr 12, 2018,9:16:08 PM,47,48,45
Apr 12, 2018,9:16:08 PM,46,48,45
Apr 12, 2018,9:16:09 PM,46,48,45
Apr 12, 2018,9:16:09 PM,46,48,45
Apr 12, 2018,9:16:09 PM,50,50,45
Apr 12, 2018,9:16:09 PM,53,53,45
Apr 12, 2018,9:16:09 PM,52,53,45
